            70837.125000                0.250994              999.000000            -9525.041016
            71055.539062                0.316906              999.000000           -11801.608398
            71273.953125                0.363147              999.000000           -13592.769531
            71492.367188                0.529975              999.000000           -19941.609375
            71710.781250                0.371176              999.000000           -14560.555664
            71929.203125                0.432125              999.000000           -17045.771484
            72147.617188                0.584029              999.000000           -23163.085938
            72366.031250                0.561865              999.000000           -22485.964844
            72584.445312                0.196010              999.000000            -7846.163086
            72802.859375                0.066885              999.000000            -2690.601318
            73021.273438                0.118913              999.000000            -4204.070801
            73239.687500                0.111507              999.000000            -3778.322021
            73458.101562                0.186153              999.000000            -6346.834473
            73676.515625                0.029251              999.000000            -1003.665588
            73894.929688               -0.016890              999.000000              626.343323
            74113.343750                0.430683              999.000000           -14333.501953
            74331.757812                0.354827              999.000000           -11018.866211
            74550.171875                0.456299              999.000000           -14328.404297
            74768.585938                0.116756              999.000000            -4385.936523
            74987.000000               -0.269838              999.000000            10263.651367
            75205.414062               -0.309517              999.000000             4582.592773
            75423.828125               -5.571302              999.000000             7063.533203
            75642.242188               -0.604513              999.000000            -3309.977783
            75860.656250               -0.110946              999.000000            -4070.142334
            76079.078125               -0.025820              999.000000            -1840.757324
            76297.492188               -0.029334              999.000000            -3718.585938
            76515.906250                0.010873                0.000554             2001.707153
            76734.320312                0.033942                0.001308             8761.740234
            76952.734375                0.085640                0.002826            28475.328125
            77171.148438                0.104600                0.003301            41585.093750
            77389.562500                0.064122                0.002065            30917.304688
            77607.976562                0.092272                0.002852            56586.183594
            77826.390625                0.080895                0.002517            61448.816406
            78044.804688                0.081126                0.002500            76905.234375
            78263.218750                0.076958                0.002362            86521.750000
            78481.632812                0.076757                0.002329            98332.898438
            78700.046875                0.081211                0.002436           112699.437500
            78918.460938                0.079480                0.002371           114041.679688
            79136.875000                0.084374                0.002497           122667.320312
            79355.289062                0.079019                0.002332           120583.000000
            79573.703125                0.073420                0.002154           123328.148438
            79792.117188                0.073918                0.002150           130148.250000
            80010.539062                0.074797                0.002165           135411.015625
            80228.953125                0.078326                0.002259           144064.953125
            80447.367188                0.078979                0.002287           153075.578125
            80665.781250                0.062388                0.001833           133465.296875
            80884.195312                0.060865                0.001793           130497.281250
            81102.609375                0.062403                0.001841           131008.218750
            81321.023438                0.069232                0.002071           145476.312500
            81539.437500                0.064015                0.001948           131256.234375
            81757.851562                0.062517                0.001896           124345.546875
            81976.265625                0.074787                0.002225           148262.828125
            82194.679688                0.072624                0.002129           137104.359375
            82413.093750                0.074638                0.002144           140972.203125
            82631.507812                0.075377                0.002127           137871.375000
            82849.921875                0.071250                0.001981           125651.710938
            83068.335938                0.064527                0.001804           107798.125000
            83286.750000                0.068514                0.001908           114006.554688
            83505.164062                0.064729                0.001818            98624.843750
            83723.578125                0.082910                0.002298           126520.296875
            83941.992188                0.077157                0.002149           116862.218750
            84160.414062                0.069643                0.001955           102913.796875
            84378.828125                0.064985                0.001831            98303.664062
            84597.242188                0.066543                0.001873            98607.781250
            84815.656250                0.065565                0.001842           100129.945312
            85034.070312                0.068202                0.001909           105903.570312
            85252.484375                0.066089                0.001851           103582.125000
            85470.898438                0.066723                0.001861           109790.226562
            85689.312500                0.067313                0.001871           120527.750000
            85907.726562                0.067996                0.001891           122327.984375
            86126.140625                0.072549                0.002012           131095.046875
            86344.554688                0.071219                0.001973           133077.156250
            86562.968750                0.066167                0.001838           126449.539062
            86781.382812                0.064345                0.001784           130629.242188
            86999.796875                0.060568                0.001684           124930.421875
            87218.210938                0.063465                0.001761           129947.867188
            87436.625000                0.054714                0.001526           116547.554688
            87655.039062                0.058164                0.001622           119159.070312
            87873.453125                0.053317                0.001492           111113.195312
            88091.867188                0.074483                0.002055           148309.937500
            88310.289062                0.060773                0.001691           123899.492188
            88528.703125                0.054121                0.001515           108274.640625
            88747.117188                0.050111                0.001408            99209.078125
            88965.531250                0.053512                0.001497           105506.820312
            89183.945312                0.047332                0.001334            92748.914062
            89402.359375                0.047555                0.001343            90731.976562
            89620.773438                0.053924                0.001513           102473.000000
            89839.187500                0.052743                0.001484            99875.648438
            90057.601562                0.050267                0.001422            92044.226562
            90276.015625                0.046221                0.001315            82981.695312
            90494.429688                0.047094                0.001338            84816.039062
            90712.843750                0.056732                0.001596           100895.250000
            90931.257812                0.050735                0.001437            89161.750000
            91149.671875                0.044458                0.001272            75825.054688
            91368.085938                0.041112                0.001179            72659.914062
            91586.500000                0.048764                0.001386            83769.757812
            91804.914062                0.041421                0.001190            71362.773438
            92023.328125                0.049143                0.001398            84556.257812
            92241.742188                0.051926                0.001482            83003.187500
            92460.164062                0.059836                0.001707            86306.343750
            92678.578125                0.049670                0.001447            64724.500000
            92896.992188                0.034385                0.001046            38250.929688
            93115.406250                0.038154                0.001157            40639.941406
            93333.820312                0.045566                0.001365            47439.542969
            93552.234375                0.039527                0.001197            41327.507812
            93770.648438                0.030531                0.000937            34869.738281
            93989.062500                0.039240                0.001174            47967.144531
            94207.476562                0.045768                0.001351            56186.078125
            94425.890625                0.047417                0.001395            57366.957031
            94644.304688                0.049751                0.001468            54488.179688
            94862.718750                0.053412                0.001577            55011.066406
            95081.132812                0.069239                0.002008            71618.343750
            95299.546875                0.058725                0.001721            61149.371094
            95517.960938                0.037586                0.001133            41594.859375
            95736.375000                0.043309                0.001284            51502.750000
            95954.789062                0.048649                0.001434            55411.187500
            96173.203125                0.046445                0.001368            55910.187500
            96391.617188                0.047220                0.001387            57769.007812
            96610.039062                0.060472                0.001744            75678.656250
            96828.453125                0.062471                0.001794            80707.335938
