2798.00  2.9  20 MgII
3727.30  2.9  60 OII
4861.33  2.5 115 Hb
4958.91  2.6  50 OIII
5006.84  2.7 127 OIII
6300.23  2.4  32 OI   NOTE - this is telluric if Z=0.0 !
6548.06  2.7  67 N1
6562.82  2.6 700 Ha
6583.57  2.6 194 N2
6716.44  2.7 132 S1
6730.815 2.7 100 S2
