4353.0 4363.0  Hg 4358.34
5456.0 5466.0  Hg 5460.74
5872.0 5913.0  Na 5890.40
5572.0 5582.0  OI 5577.35
6295.0 6305.0  OI 6300.23
6359.0 6369.0  OI 6363.88
