 Full     Lambda       e     Intensity   preLambda   ID    
          0.1nm      0.1nm                 0.1nm           

  117  3834.059165  0.000145       791  3834.059409  NoID  
  118  3834.173244  0.000117     14675  3834.173455  NoID  
  119  3835.310355  0.000474      3760               ?     
  120  3835.356345  0.001463       988               ?     
  121  3835.766113  0.000121    114520  3835.766281  ArI   
  122  3836.435720  0.000129      3292  3836.436448  ThI   
  123  3836.502160  0.000124      6877  3836.502151  ThI   
  124  3836.798670  0.000123     11988  3836.799316  ThI   
  125  3837.047479  0.000110      2539  3837.047602  ThI   
  126  3837.101546  0.000205       584               ?     
  127  3837.301730  0.000134      2245  3837.301516  NoID  
  128  3837.628480  0.000222     26661  3837.627730  ThI   
  129  3837.673857  0.000119     98930  3837.673503  ThI   
  130  3837.809522  0.000125     12444  3837.809548  ThI   
  131  3837.929891  0.000157       788               ?     
  132  3838.112882  0.000137      1918  3838.112557  ThI   
  133  3838.383309  0.000630      1940  3838.382185  NoID  
  134  3838.432789  0.000656      1716  3838.431557  NoID  
  135  3838.964190  0.000122    130832  3838.963969  ThI   
  136  3841.468763  0.000641      3631  3841.470267  NoID  
  137  3841.520122  0.000387      7462  3841.519334  ThI   
  138  3841.704151  0.000131      2161  3841.704074  NoID  
  139  3841.889593  0.000131     29450  3841.889939  ThI   
  140  3842.138843  0.000127      2402               ?     
  141  3842.608181  0.000135     16354  3842.608006  ArII  
  142  3843.050088  0.000134     14650  3843.049933  ThII  
  143  3843.640176  0.000122      2490  3843.640165  ThI   
  144  3843.832999  0.000118      3863  3843.833339  ThI   
  145  3843.894098  0.000121      3100  3843.893607  ThI   
  146  3843.987944  0.000134     24564  3843.986813  ThI   
  147  3844.110109  0.000138      5851  3844.110539  ThI   
  148  3844.598857  0.000118      2985  3844.598913  NoID  
  149  3845.654015  0.000116      3574  3845.652698  ArII  
  150  3845.821642  0.000143      6925  3845.821316  ArII  
  151  3846.023500  0.000145      4358  3846.023496  ThI   
  152  3846.183099  0.000145      4579  3846.183003  ThI   
  153  3846.397358  0.000142      1068               ?     
  154  3846.496175  0.000143     47054  3846.495770  ArII  
  155  3846.624743  0.000127      1526  3846.627647  ThII  
  156  3847.339887  0.000125      1481  3847.340055  ThII  
  157  3847.717742  0.000111      5016  3847.717677  ThI   
  158  3847.926773  0.000924      1964               ?     
  159  3847.978316  0.000142     21650  3847.978706  ThI   
  160  3848.710564  0.000110      5818  3848.711167  ThI   
  161  3849.720593  0.000135       846               ?     
  162  3850.151735  0.000120      1486  3850.150080  NoID  
  163  3850.273996  0.000116      1870  3850.274840  ThIII 
  164  3851.003100  0.000299      5078  3851.003222  ThI   
  165  3851.059683  0.002085       872               ?     
  166  3851.225048  0.000112      2707  3851.225955  ThII  
  167  3851.375259  0.000124      1159  3851.374844  ThII  
  168  3851.673488  0.000105    287908  3851.672819  ArII  
  169  3852.166737  0.000108      4070  3852.166797  ThI   
  170  3852.250677  0.000106      7304  3852.250522  ThI   
  171  3853.227582  0.000159     59418  3853.227705  ThI   
  172  3854.051259  0.000124      1132  3854.051658  ThII  
  173  3854.884096  0.001593      2060  3854.880287  NoID  
  174  3854.921840  0.000556      4416  3854.920573  ThI   
  175  3855.220066  0.000120      1281  3855.221654  NoID  
  176  3855.603289  0.000162     17652  3855.603902  ThII  
  177  3855.969637  0.000910      1085  3855.970509  ThII  
  178  3856.022279  0.000755      1235               ?     
  179  3856.159258  0.000111      1950  3856.158531  NoID  
  180  3856.252114  0.000109      2516  3856.253493  ArII  
  181  3857.611844  0.000167      5183  3857.611129  ThI   
  182  3857.717157  0.000165      8577  3857.717726  ThI   
  183  3857.842165  0.000130      1053               ?     
  184  3858.601936  0.000173      2521  3858.602708  ThII  
  185  3859.997638  0.001757      3940  3859.998011  NoID  
  186  3860.025911  0.006103      1486               ?     
  187  3863.753212  0.000667      4788  3863.753093  ThII  
  188  3863.801294  0.001216      1601  3863.798073  ThII  
  189  3864.501293  0.000159     17403  3864.501264  ThII  
  190  3865.363186  0.000169       860  3865.363409  ArI   
  191  3865.933176  0.000159      3153  3865.933897  NoID  
  192  3866.067061  0.000129      2103  3866.065107  ThI   
  193  3867.165849  0.000145      1148  3867.164328  ThII  
  194  3867.375199  0.000121      2606               ?     
  195  3868.004626  0.000113     14044  3868.005444  ThI   
  196  3868.674754  0.000128      1494  3868.675055  ThII  
  197  3868.948613  0.000135      1194  3868.947018  ThII  
  198  3869.351878  0.000147      4370  3869.351382  ThI   
  199  3869.625305  0.000143    173914  3869.624802  ArII  

  200  3870.499332  0.000149       760               ?     
  201  3870.760238  0.000141     33176  3870.760344  ThI   
  202  3871.276757  0.000126      1306               ?     
  203  3872.168688  0.000154       666               ?     
  204  3872.553092  0.000127      1136  3872.553760  ThII  
  205  3872.714247  0.000114      2584  3872.714936  NoID  
  206  3873.234962  0.000108     15722  3873.234624  ArII  
  207  3873.457278  0.000119      1599  3873.457911  ThII  
  208  3873.601818  0.000110      5142  3873.602671  NoID  
  209  3873.768907  0.000195     10393  3873.768587  ThI   
  210  3873.820103  0.000152     13449  3873.820043  ThII  
  211  3873.959752  0.000128      1045               ?     
  212  3874.245786  0.000107     42419  3874.245824  ThI   
  213  3874.516768  0.000237      6175  3874.518030  ThI   
  214  3874.571943  0.000107     94974  3874.572029  ThI   
  215  3874.920161  0.000106    424686  3874.920481  ThI   
  216  3875.341905  0.000106     82454  3875.341968  ThI   
  217  3875.960671  0.000106    189023  3875.960294  ThI   
  218  3876.076870  0.000106     14146  3876.076621  NoID  
  219  3876.363528  0.000105     32694  3876.362548  ArII  
  220  3876.471876  0.000105     71726  3876.471611  ThI   
  221  3876.745011  0.000106     13544  3876.744717  ThI   
