 Full     Lambda       e     Intensity   preLambda   ID    
          0.1nm      0.1nm                 0.1nm           

 1105  4163.682275  0.000115     48865  4163.682555  ThI   
 1106  4163.852121  0.000116      6137  4163.852579  ThII  
 1107  4163.955744  0.000116      8450  4163.956278  ThI   
 1108  4164.101528  0.000142       824  4164.101649  NoID  
 1109  4164.353692  0.000137      1149  4164.354530  ThII  
 1110  4164.820596  0.000115     12528  4164.820766  ThII  
 1111  4164.909503  0.000117      3324  4164.910116  ThII  
 1112  4165.002823  0.000119      2242  4165.003026  ThI   
 1113  4165.122499  0.000115      9955  4165.121788  ThI   
 1114  4165.353126  0.000114    517524  4165.353209  ArI   
 1115  4165.428880  0.000146      9527  4165.429031  ThII  
 1116  4165.560822  0.000991       490               ?     
 1117  4165.628275  0.000118      2514  4165.629251  ThI   
 1118  4165.705412  0.000118      2583  4165.706315  NoID  
 1119  4165.865591  0.000191       697  4165.864686  NoID  
 1120  4165.980441  0.000131      1034  4165.980790  NoID  
 1121  4166.147550  0.000114      7250  4166.147651  ThI   
 1122  4166.249681  0.000117      2348  4166.248410  ThII  
 1123  4166.335549  0.000173       582               ?     
 1124  4166.940705  0.000113    224000  4166.940539  ThI   
 1125  4167.223161  0.000191       397               ?     
 1126  4167.548167  0.000132       767  4167.547929  ThI   
 1127  4167.664151  0.000136       665  4167.667393  ThII  
 1128  4168.080415  0.000138       595  4168.082217  ThI   
 1129  4168.572231  0.000119      1597  4168.571461  NoID  
 1130  4169.040380  0.000138      8826  4169.040084  ThI   
 1131  4169.221896  0.000139      6121  4169.221427  NoID  
 1132  4169.630448  0.000139      4750  4169.630127  ThI   
 1133  4169.809171  0.000136     14145  4169.809243  ThII  
 1134  4170.143993  0.000140      5961  4170.142759  ArII  
 1135  4170.388497  0.000141      3011  4170.388199  NoID  
 1136  4170.573497  0.000135       687  4170.571642  NoID  
 1137  4171.708699  0.000128    279341  4171.708907  ThI   
 1138  4171.960357  0.000141      3881  4171.961338  ThII  
 1139  4172.516838  0.000140      5510  4172.516848  NoID  
 1140  4173.557825  0.000124       964  4173.557541  NoID  
 1141  4173.801996  0.000142      4906  4173.801885  NoID  
 1142  4173.920107  0.000153       449               ?     
 1143  4174.133876  0.000127      1068               ?     
 1144  4174.483700  0.000133       705  4174.482603  NoID  
 1145  4174.624467  0.000142     15102  4174.623917  ThI   
 1146  4174.709408  0.000146      5312               ?     
 1147  4174.813978  0.000154       717               ?     
 1148  4174.897600  0.000166      4543  4174.897250  ThI   
 1149  4174.953937  0.000723       861               ?     
 1150  4175.238780  0.000164       759  4175.240418  NoID  
 1151  4175.386553  0.000132      1141               ?     
 1152  4175.616260  0.000147      2975  4175.616248  NoID  
 1153  4177.370496  0.000143       809               ?     
 1154  4177.513005  0.000156      1373  4177.512813  ThII  
 1155  4177.658976  0.000153      1921  4177.658940  ThI   
 1156  4178.463397  0.000154      2161  4178.460965  ThI   
 1157  4178.916184  0.000517      2582  4178.915346  NoID  
 1158  4178.967988  0.001305       844               ?     
 1159  4179.236992  0.000149     47397  4179.237360  ThII  
 1160  4179.429687  0.000154      3044  4179.428901  NoID  
 1161  4179.542542  0.000153     18607  4179.542933  ArII  
 1162  4180.026395  0.000150     35118  4180.025890  ThI   
 1163  4181.368416  0.000157      2455  4181.368568  ThI   
 1164  4181.446725  0.000889       807               ?     
 1165  4181.505870  0.000162      6582  4181.505418  ThI   
 1166  4181.900230  0.000155      6480  4181.899357  ThI   
 1167  4182.063230  0.000198      1114  4182.063823  NoID  
 1168  4182.135945  0.000161      1873  4182.136022  ThI   
 1169  4182.342421  0.000159      2016  4182.343239  ThII  
 1170  4182.480336  0.001154       916  4182.479524  NoID  
 1171  4182.530459  0.001337       715  4182.529887  ThI   
 1172  4182.698506  0.000203       449               ?     
 1173  4183.061992  0.000155    741666  4183.061864  ArI   
 1174  4183.256314  0.000196      4701               ?     
 1175  4183.334639  0.000157      3903  4183.335743  ThII  
 1176  4183.632705  0.000157       719  4183.631799  NoID  
 1177  4185.316812  0.000155     21688  4185.316787  ThI   
 1178  4185.783474  0.000157      9757  4185.783822  NoID  
 1179  4185.891118  0.000348      2676  4185.890473  ThII  
 1180  4185.941643  0.000764       942  4185.942408  NoID  
 1181  4186.324077  0.000157     10198  4186.324162  ThI   
 1182  4186.477208  0.000160      4089  4186.478005  NoID  
 1183  4186.647842  0.000158      8530  4186.648879  NoID  
 1184  4186.984656  0.000122      4198               ?     
 1185  4187.706985  0.000167       421               ?     
 1186  4187.862461  0.000131      1065  4187.862644  NoID  
 1187  4188.320539  0.000120      9563  4188.320984  ThI   
 1188  4188.978086  0.000132       956               ?     
 1189  4189.080099  0.000159       418  4189.080025  NoID  
 1190  4189.294867  0.000140       821               ?     
 1191  4189.376813  0.000194       633               ?     
 1192  4190.261713  0.000231       231               ?     
 1193  4192.619153  0.001323       388               ?     
 1194  4192.716788  0.000262       834  4192.715853  NoID  
 1195  4193.008402  0.000117      4974  4193.008157  ThII  
 1196  4193.543208  0.000115     33914  4193.543348  ThI   
 1197  4194.197879  0.000114    106838  4194.197906  ThI   
 1198  4194.635729  0.000214       704               ?     
 1199  4194.699471  0.000116      5110  4194.699335  ThI   

 1200  4194.787898  0.000263       553               ?     
 1201  4195.264199  0.000121      1435  4195.264403  ThII  
 1202  4195.759856  0.000126       970  4195.759081  NoID  
 1203  4195.870733  0.000120      1468               ?     
 1204  4195.962876  0.000162       402               ?     
 1205  4196.118119  0.000113     90525  4196.118118  ThI   
 1206  4196.357787  0.001700       296               ?     
 1207  4196.409562  0.001113       466  4196.408537  ThI   
 1208  4196.740429  0.000115      3318  4196.739963  ThII  
 1209  4196.826007  0.000142       593  4196.826901  NoID  
 1210  4197.014802  0.000113      6130  4197.014844  ThII  
 1211  4197.132050  0.000116      2675  4197.132462  ThII  
 1212  4197.342491  0.000124      1047  4197.342965  NoID  
 1213  4197.680428  0.000130       788               ?     
 1214  4198.292118  0.000143       700  4198.287592  NoID  
 1215  4198.498588  0.000453       586  4198.499251  ThI   
 1216  4198.564665  0.000450      1398  4198.561229  NoID  
 1217  4198.651045  0.000851       760               ?     
 1218  4200.058051  0.000234      3329  4200.058320  ThI   
 1219  4200.118500  0.000163      6180  4200.118758  ThI   
 1220  4200.197352  0.000162      1690  4200.197861  ThII  
 1221  4200.288455  0.000165      3299               ?     
 1222  4200.358371  0.000406       901               ?     
 1223  4200.696222  0.000156      1137  4200.700515  NoID  
 1224  4200.814442  0.000155      7352  4200.814316  NoID  
 1225  4202.737997  0.000235     12353  4202.737979  ArII  
 1226  4202.787126  0.000456      4689  4202.785104  ThI   
 1227  4202.863156  0.000122      1709  4202.864626  NoID  
 1228  4203.030911  0.000145     17456  4203.030516  ThII  
 1229  4203.155886  0.000146     99276  4203.155061  ArII  
 1230  4203.447799  0.000144      8227  4203.447781  ThI   
 1231  4203.535756  0.000154       656  4203.536057  NoID  
 1232  4204.760465  0.000139     18184  4204.760518  ThI   
 1233  4204.955951  0.000190       478  4204.957606  NoID  
 1234  4205.068648  0.000139     11218  4205.068420  ThI   
 1235  4205.225753  0.000137     24459  4205.225695  ThI   
 1236  4205.351606  0.000148      1226  4205.351414  NoID  
 1237  4205.722664  0.000138      5274  4205.722937  NoID  
 1238  4206.193982  0.000141      1829  4206.193635  NoID  
 1239  4206.312495  0.000136      5180  4206.312052  ThI   
 1240  4206.572721  0.000143      1415  4206.573076  NoID  
 1241  4206.975613  0.000150       811               ?     
 1242  4207.240294  0.000136      2558  4207.241284  ThI   
 1243  4207.838439  0.001054      2089  4207.841164  ThII  
 1244  4207.880322  0.000761      3792               ?     
 1245  4208.360616  0.000132      3539  4208.360862  ThI   
 1246  4208.797982  0.000130      5466  4208.797554  ThI   
 1247  4209.596706  0.000126     23688  4209.596412  ThI   
 1248  4210.382022  0.000126      9063  4210.382205  NoID  
 1249  4211.107732  0.000689      2077               ?     
 1250  4211.158262  0.000140     35234  4211.158699  ThI   
 1251  4211.274334  0.000125     12164  4211.274699  ThI   
 1252  4211.643029  0.000126      9780  4211.641558  ThI   
 1253  4211.951033  0.000120    139436  4211.951037  ThI   
 1254  4212.109229  0.000099   1145053  4212.109430  ThI   
 1255  4212.469506  0.000133      1866  4212.470136  NoID  
 1256  4212.700787  0.000116      2420  4212.701631  ThII  
 1257  4213.070990  0.000158       943  4213.069821  ThII  
 1258  4213.146097  0.000292       740               ?     
 1259  4213.836827  0.000904       962               ?     
 1260  4213.889257  0.000861      1310  4213.890065  NoID  
 1261  4214.110164  0.000138      1839  4214.111274  ThI   
 1262  4214.253888  0.000127    120920  4214.254076  ThI   
 1263  4214.502765  0.000189      4156  4214.503121  ThI   
 1264  4214.564537  0.000133     15956  4214.564738  NoID  
 1265  4214.740699  0.000138       956  4214.740400  NoID  
 1266  4214.981888  0.000176       392               ?     
 1267  4215.181955  0.000135      1060  4215.182433  ThII  
 1268  4215.935923  0.000124      3854  4215.936792  NoID  
 1269  4216.016510  0.000121     79641  4216.015746  ThI   
 1270  4216.397733  0.000142       725  4216.398490  ThI   
 1271  4216.571767  0.000174       470               ?     
 1272  4216.815246  0.000121      7758  4216.814714  ThI   
 1273  4217.038941  0.000121      5846  4217.039876  ThI   
 1274  4217.735621  0.000848       800  4217.732440  ThI   
 1275  4217.797613  0.001651       397               ?     
 1276  4218.253793  0.000125      1966  4218.253837  NoID  
 1277  4218.618744  0.000119     96470  4218.618479  ArII  
 1278  4219.374272  0.000468      3422  4219.374495  ThII  
 1279  4219.414950  0.004072       800               ?     
 1280  4219.602854  0.000127      1430  4219.604880  ThI   
 1281  4219.731139  0.000120      5170  4219.730285  ThII  
 1282  4219.853002  0.000118     99721  4219.853062  ArII  
 1283  4220.760501  0.000235      5620  4220.760264  ThI   
 1284  4220.808585  0.000956       766               ?     
 1285  4220.867648  0.000137       794  4220.869169  ThII  
 1286  4221.255545  0.000117     43098  4221.253721  ThI   
 1287  4221.920770  0.000116     19637  4221.921148  ThI   
 1288  4222.040693  0.000125      1254  4222.040148  NoID  
 1289  4222.342619  0.000117      6823  4222.341958  ThI   
 1290  4222.548174  0.000154       482               ?     
 1291  4222.615469  0.000184       340               ?     
 1292  4222.880529  0.000116      6276  4222.881150  ThI   
 1293  4223.056081  0.000162       408               ?     
 1294  4223.340910  0.000593      1440  4223.341945  ThI   
 1295  4223.397341  0.001500       393               ?     
 1296  4223.636147  0.000119      3068  4223.629080  ThI   
 1297  4223.826635  0.000115    135037  4223.826336  ArII  
 1298  4224.124189  0.000136       640               ?     
 1299  4224.581141  0.000676      1719               ?     
 1300  4224.628773  0.000118     43016  4224.629820  ThI   
 1301  4225.677827  0.000140       552  4225.676246  ThI   
 1302  4226.223047  0.000125      1113               ?     
 1303  4226.992516  0.000123      1106  4226.993079  NoID  
 1304  4227.144853  0.000157       396               ?     
 1305  4227.235654  0.000117      1790  4227.236216  ThI   
 1306  4227.489336  0.000136     19255  4227.489639  ThI   
 1307  4227.799575  0.000137     37633  4227.798913  ArII  
 1308  4227.917028  0.000111    394517  4227.917136  Contam
 1309  4227.971773  0.000176     14462               ?     
 1310  4228.177907  0.000136    179858  4228.177828  ArII  
 1311  4228.479536  0.000120      1712  4228.478137  NoID  
 1312  4228.577828  0.000132     69114  4228.577731  ThI   
 1313  4229.348670  0.000135    513066  4229.348484  ArII  
 1314  4229.607355  0.000135      8178  4229.607455  NoID  
 1315  4229.877454  0.000246      5376               ?     
 1316  4229.950889  0.000396     11543  4229.951231  ThI   
 1317  4229.987233  0.001709      4098               ?     
 1318  4230.103253  0.000139      3081               ?     
 1319  4230.181687  0.000212       789  4230.179713  ThII  
 1320  4230.338339  0.000128    144012  4230.338711  ThI   
 1321  4230.645261  0.000134      8028  4230.645753  ThII  
 1322  4231.617440  0.000108     68111  4231.618090  ThI   
 1323  4232.014899  0.000133     18390  4232.015618  ThI   
 1324  4232.150657  0.000155       887  4232.150950  NoID  
 1325  4232.271937  0.000270      1184  4232.272229  NoID  
 1326  4232.331398  0.001110       812  4232.329406  ThI   
 1327  4232.381651  0.002783       314               ?     
 1328  4232.808407  0.000121      1465               ?     
 1329  4232.941594  0.000140      4188  4232.941246  ThI   
 1330  4233.453128  0.000141      1799               ?     
 1331  4234.480332  0.000137      4134  4234.479456  ThII  
 1332  4234.795056  0.000144       601               ?     
 1333  4234.916198  0.000130       837  4234.918107  ThI   
 1334  4235.098475  0.000138      2992  4235.098231  ThI   
 1335  4235.422854  0.000138      2958  4235.422791  ThI   
 1336  4235.496369  0.000149      1088  4235.495372  ThII  
 1337  4235.567462  0.000158       747               ?     
 1338  4236.176454  0.000138      3890  4236.176444  ThII  
 1339  4236.656438  0.000119    824528  4236.656317  ThI   
 1340  4237.130516  0.000142      1948               ?     
 1341  4237.239839  0.000137      5402  4237.239982  NoID  
 1342  4237.583164  0.000140      2725  4237.582773  NoID  
 1343  4238.729314  0.000168       757  4238.727399  ThI   
 1344  4239.572180  0.000140      2716  4239.571810  NoID  
 1345  4239.655789  0.000151      1212               ?     
 1346  4240.348669  0.000150       856               ?     
 1347  4240.466199  0.000149      1168  4240.467912  ThI   
 1348  4240.865566  0.000187       597  4240.866942  NoID  
 1349  4240.983480  0.000144      1991  4240.981132  NoID  
 1350  4241.051929  0.000232       521               ?     
 1351  4241.117621  0.000159       835               ?     
 1352  4241.637785  0.000143       979  4241.636406  NoID  
 1353  4241.788678  0.000138      6871  4241.788745  ThII  
 1354  4241.866831  0.000152      1098  4241.864856  NoID  
 1355  4241.945588  0.000148      1747  4241.941060  NoID  
 1356  4242.289073  0.000137     31822  4242.288985  ThI   
 1357  4242.894609  0.000145      2114  4242.894653  ThI   
 1358  4243.165476  0.000142      3763  4243.166936  NoID  
 1359  4243.699817  0.000216       546               ?     
 1360  4243.914485  0.000144      3852  4243.914288  ThII  
 1361  4244.214299  0.000143      7008  4244.214190  NoID  
 1362  4244.455739  0.000143     14756  4244.455834  ThI   
 1363  4245.119498  0.000123      5443  4245.118959  ThII  
 1364  4245.215177  0.000126      2531  4245.216365  ThI   
 1365  4245.468992  0.000125      2494  4245.468902  NoID  
 1366  4245.689444  0.000145       643  4245.690970  NoID  
 1367  4245.965472  0.001135       394               ?     
 1368  4246.019136  0.001314       373               ?     
 1369  4246.175791  0.000213       238               ?     
 1370  4246.752550  0.000121      8041  4246.752978  ThI   
 1371  4247.017044  0.002639       775               ?     
 1372  4247.053603  0.001579      1213  4247.053569  NoID  
 1373  4247.170598  0.000145       580               ?     
 1374  4247.517776  0.000123      2948  4247.517634  ThI   
 1375  4247.883561  0.000143       634               ?     
 1376  4248.484368  0.000124      2494  4248.484422  ThI   
 1377  4248.548755  0.000127      2117  4248.546893  ThI   
 1378  4248.794634  0.000119     16188  4248.794664  ThII  
 1379  4248.882389  0.000129      1092  4248.882399  NoID  
 1380  4248.971203  0.000145       801  4248.968929  NoID  
 1381  4249.054531  0.000156      9275  4249.055318  ThI   
 1382  4249.112245  0.000555      1414  4249.112479  NoID  
 1383  4249.183637  0.000119     18887  4249.184556  ThII  
 1384  4249.377791  0.000130       988  4249.376586  ThI   
 1385  4249.471365  0.000142       741  4249.468029  ThI   
 1386  4249.586551  0.000118     34183  4249.586908  ThI   
 1387  4249.714736  0.000119      8844  4249.714734  ThI   
 1388  4249.936166  0.000120      3883  4249.936126  NoID  
 1389  4250.058957  0.000178      1116  4250.058409  NoID  
 1390  4250.112622  0.001497       267               ?     
 1391  4250.372694  0.000138       660  4250.372096  NoID  
 1392  4250.576819  0.000245       604               ?     
 1393  4250.672218  0.000118      8808  4250.672513  ThI   
 1394  4250.875760  0.000119      5354  4250.875519  ThII  
 1395  4251.971868  0.000117     39130  4251.971653  ThI   
 1396  4252.036576  0.000126      3552  4252.035383  ThI   
 1397  4252.277634  0.000121      2773  4252.274792  ThI   
 1398  4252.381382  0.000116    279492  4252.381097  ArI   
 1399  4252.483274  0.000116     15679  4252.484334  ThI   

 1400  4252.618610  0.000120      2227  4252.618899  ThI   
 1401  4252.716540  0.000852       425               ?     
 1402  4252.789545  0.000386       380               ?     
 1403  4252.881796  0.000164       432               ?     
 1404  4253.232470  0.000134       759  4253.230089  NoID  
 1405  4254.736232  0.000114     63901  4254.735888  ThI   
 1406  4254.944833  0.000147       577  4254.944533  NoID  
 1407  4255.065261  0.000116      3715  4255.064913  ThII  
 1408  4255.215283  0.000140       592  4255.215503  ThII  
 1409  4255.532461  0.000965      1613  4255.533066  Contam
 1410  4255.575058  0.000402      4500  4255.575624  ThI   
 1411  4255.649985  0.000116      3100  4255.650927  ThII  
 1412  4255.837443  0.000139       578               ?     
 1413  4256.166732  0.000147       497               ?     
 1414  4256.435038  0.000113     45012  4256.435150  NoID  
 1415  4257.126850  0.000148       543  4257.127287  NoID  
 1416  4257.451761  0.000145    148569  4257.451842  ThI   
 1417  4257.697598  0.000139       721               ?     
 1418  4259.097068  0.000148      9807  4259.096805  NoID  
 1419  4259.430919  0.000117      1717  4259.431186  NoID  
 1420  4259.514118  0.000116      2054               ?     
 1421  4259.718661  0.000110     83044  4259.719131  ThI   
 1422  4260.193899  0.000114      4730  4260.194316  NoID  
 1423  4261.187472  0.000166      1354  4261.189055  NoID  
 1424  4261.335090  0.000246      3246  4261.336519  ThI   
 1425  4261.405364  0.000769      1128               ?     
 1426  4261.478804  0.000417      3636               ?     
 1427  4261.531704  0.000109     73659  4261.532191  ThI   
 1428  4261.596194  0.000360      2779               ?     
 1429  4261.671915  0.000110      7546               ?     
 1430  4262.004797  0.000147      3833  4262.002077  ThI   
 1431  4262.474593  0.000145      6723  4262.474828  ThII  
 1432  4262.692189  0.000145      7436  4262.691519  ThI   
 1433  4263.069132  0.000206       402               ?     
 1434  4263.165765  0.000146      3167  4263.166114  NoID  
 1435  4263.279531  0.000134       796               ?     
 1436  4263.654304  0.000157       950  4263.654430  NoID  
 1437  4263.812230  0.000143     20128  4263.812173  NoID  
 1438  4263.942724  0.000136       844  4263.939146  ThII  
 1439  4264.421012  0.000149      1750  4264.421384  ThI   
 1440  4264.556249  0.000144      7838  4264.556123  ThII  
 1441  4265.306985  0.000145      3201  4265.306646  ThII  
 1442  4265.540710  0.000231     12303  4265.540145  ThI   
 1443  4265.579367  0.004906      1632               ?     
 1444  4265.784345  0.000150      1674  4265.785007  NoID  
 1445  4266.692291  0.000879      1210  4266.690642  ThII  
 1446  4266.746854  0.001530       611  4266.749062  NoID  
 1447  4267.487209  0.000103   1103984  4267.486880  ArI   
 1448  4267.728139  0.000143    450419  4267.727448  ArII  
 1449  4269.810231  0.000158      1085               ?     
 1450  4270.266274  0.000142      7552  4270.265460  ThI   
 1451  4270.829229  0.000175      1252               ?     
 1452  4271.143995  0.000140     37663  4271.144357  ThI   
 1453  4271.530344  0.000144      5166  4271.530863  ThII  
 1454  4271.936854  0.000143      6747  4271.936820  ThI   
 1455  4272.641399  0.000144      9532  4272.641766  NoID  
 1456  4272.754541  0.000144      1246  4272.752160  ThII  
 1457  4272.962580  0.000145     10259  4272.962319  NoID  
 1458  4273.983822  0.000145      1392  4273.984823  NoID  
 1459  4274.076830  0.000147     67958  4274.076982  ThI   
 1460  4274.560049  0.000123     85285  4274.560072  ThII  
 1461  4274.829194  0.000138      1101  4274.829178  NoID  
 1462  4274.891030  0.000158       726  4274.890398  NoID  
 1463  4275.110610  0.000132      1659  4275.112702  ThI   
 1464  4275.227618  0.000123     15302  4275.227428  ThII  
 1465  4275.425248  0.000125      3198  4275.423902  ThI   
 1466  4275.519048  0.001426      2407               ?     
 1467  4275.557224  0.000590      6807  4275.558186  ThI   
 1468  4275.718393  0.000142       767  4275.719315  NoID  
 1469  4276.772669  0.000699      2160  4276.770995  ThI   
 1470  4276.815688  0.003490       292               ?     
 1471  4277.180185  0.000333       633               ?     
 1472  4277.250851  0.000157       658  4277.252316  NoID  
 1473  4277.482295  0.000138       962  4277.484143  NoID  
 1474  4277.759128  0.000186       979               ?     
 1475  4277.844842  0.000750       614               ?     
 1476  4278.010705  0.000120     25978  4278.010811  ThII  
 1477  4278.170509  0.000132      5844               ?     
 1478  4278.242724  0.000201      2953  4278.244440  ThII  
 1479  4278.363481  0.000122      4949  4278.362683  ThI   
 1480  4279.141353  0.000474      1370  4279.142757  NoID  
 1481  4279.204586  0.000327      2080  4279.203185  NoID  
 1482  4279.526822  0.000119     76993  4279.527159  ThI   
 1483  4279.620166  0.000751       674               ?     
 1484  4279.714299  0.000301       850  4279.714633  ThII  
 1485  4280.028811  0.000127      1924  4280.027896  NoID  
 1486  4280.105621  0.000234      1237  4280.107308  NoID  
 1487  4280.263250  0.000120      6796  4280.266857  ThI   
 1488  4280.485971  0.000123      2065  4280.485819  ThI   
 1489  4280.842335  0.000121      2694  4280.842222  ThI   
 1490  4281.127295  0.000120      5180               ?     
 1491  4281.525750  0.000130      1094  4281.526445  ThI   
 1492  4281.771524  0.000117     79417  4281.772559  ThI   
 1493  4282.081831  0.000842       804  4282.084216  NoID  
 1494  4282.137434  0.000530      1506  4282.134696  NoID  
 1495  4282.272795  0.000117     50830  4282.272446  ThII  
 1496  4282.433198  0.000815       572               ?     
 1497  4282.535130  0.000215       610               ?     
 1498  4282.619491  0.000117     27875  4282.619225  ThII  
 1499  4282.755334  0.000510       392               ?     
 1500  4283.081197  0.000117      7285  4283.081041  ThI   
 1501  4283.246979  0.000120    190894  4283.246224  ThII  
 1502  4283.295345  0.000143     51988  4283.293851  ThI   
 1503  4283.362062  0.000564       951               ?     
 1504  4284.102831  0.000115    126706  4284.102355  ArII  
 1505  4284.490394  0.000118      3089  4284.490384  NoID  
 1506  4284.569663  0.000268       430               ?     
 1507  4284.723511  0.000115     14895  4284.723713  ThII  
 1508  4284.955374  0.000494      1404  4284.954698  NoID  
 1509  4285.005356  0.000862       632  4285.003171  NoID  
 1510  4285.105908  0.000184       414               ?     
 1511  4286.605779  0.000424      1425  4286.605532  ThI   
 1512  4286.662731  0.000599      1025  4286.660474  ThII  
 1513  4286.866475  0.000165      1028               ?     
 1514  4287.145700  0.000141      4862  4287.145402  ThI   
 1515  4287.382112  0.000417      2031               ?     
 1516  4287.434025  0.000113     37175  4287.434478  ThI   
 1517  4287.561745  0.000142      6408  4287.562421  ArII  
 1518  4287.906091  0.000143      1985  4287.906803  ThII  
 1519  4289.254106  0.000153      4187  4289.253496  ThII  
 1520  4289.312517  0.000167      3157  4289.312811  NoID  
 1521  4289.676091  0.000146     19001  4289.676041  ThI   
 1522  4289.729404  0.000474      1826               ?     
 1523  4289.875435  0.000132     64693  4289.875447  ThI   
 1524  4290.414868  0.000161      1957  4290.411852  ThI   
 1525  4290.572105  0.000284      5251  4290.570071  NoID  
 1526  4290.623369  0.000529      2126  4290.623108  ThI   
 1527  4290.753800  0.000223       529  4290.755255  NoID  
 1528  4290.861899  0.000142     22020  4290.862021  ThI   
 1529  4290.925616  0.000542      1291  4290.923479  Contam
 1530  4291.137044  0.000170       418               ?     
 1531  4291.232367  0.000153       731  4291.233376  NoID  
 1532  4291.377679  0.000703      1172  4291.377531  NoID  
 1533  4291.433714  0.000959       927               ?     
 1534  4291.489046  0.000788      1172  4291.490976  NoID  
 1535  4291.600596  0.000134     12828  4291.600799  ThI   
 1536  4292.522771  0.000184       929  4292.522294  NoID  
 1537  4292.591442  0.000152      1404  4292.592570  ThII  
 1538  4292.669908  0.000137      4440               ?     
 1539  4292.840087  0.000136      3909  4292.840567  ThI   
 1540  4292.935386  0.000158      1461               ?     
 1541  4293.017184  0.000130     84477  4293.017321  ThI   
 1542  4293.513859  0.000135      5810  4293.513348  ThI   
 1543  4294.645891  0.000147      1092  4294.645566  NoID  
 1544  4295.233837  0.000138      2376  4295.234138  ThI   
 1545  4295.332915  0.000145      1145               ?     
 1546  4295.927871  0.000210     20945  4295.927528  ThI   
 1547  4295.970266  0.000556      6918               ?     
 1548  4296.246633  0.000137      3231  4296.244571  ThII  
 1549  4296.334029  0.000139      2688  4296.336364  ThII  
 1550  4296.445475  0.000136      3387  4296.444995  ThI   
 1551  4296.793327  0.000133     22079  4296.793426  ThI   
 1552  4297.024262  0.000134      8474  4297.024016  ThI   
 1553  4297.569628  0.000148       958  4297.568952  ThI   
 1554  4298.177407  0.000137      3109  4298.178149  NoID  
 1555  4298.515878  0.000130     84620  4298.515535  ThI   
 1556  4298.581508  0.000188      4122  4298.579209  ThII  
 1557  4298.842612  0.000136      3354  4298.842589  NoID  
 1558  4299.331830  0.000146      5839  4299.331534  ThI   
 1559  4299.393521  0.000272      2358  4299.396063  ThI   
 1560  4299.773662  0.000140      1812  4299.773501  ThI   
 1561  4300.037940  0.000335      2572  4300.036879  ThII  
 1562  4300.098503  0.000340      2658  4300.101911  ThII  
 1563  4300.195945  0.000137      3679  4300.195347  Contam
 1564  4300.440878  0.000134      2341               ?     
 1565  4300.705808  0.000145      2196  4300.707276  NoID  
 1566  4300.843753  0.000132     51615  4300.844725  ThI   
 1567  4301.049177  0.000130    114409  4301.048871  ThI   
 1568  4301.664435  0.000164      4319               ?     
 1569  4301.859732  0.000136    203270  4301.859058  ArII  
 1570  4302.189070  0.000200       603               ?     
 1571  4302.497458  0.000187       376  4302.495796  ThII  
 1572  4303.081200  0.000147      1582               ?     
 1573  4303.256163  0.000136      1862  4303.251789  NoID  
 1574  4303.430245  0.000138      1228  4303.431198  ThI   
 1575  4303.535438  0.000135      1585               ?     
 1576  4303.735965  0.000142     16195  4303.736385  Contam
 1577  4303.855783  0.000146      2993               ?     
 1578  4304.139660  0.001659       281               ?     
 1579  4304.197906  0.001051       505               ?     
 1580  4304.303252  0.000126      3769  4304.303978  NoID  
 1581  4304.441635  0.000137      1026  4304.441601  NoID  
 1582  4304.597666  0.000137      5546  4304.597244  NoID  
 1583  4304.651801  0.001086       577               ?     
 1584  4305.199872  0.000124     18084  4305.199928  ThI   
 1585  4305.502455  0.000135      1180  4305.502492  ThI   
 1586  4305.628292  0.000124     10453  4305.628661  NoID  
 1587  4306.014097  0.000129      2223  4306.013998  ThI   
 1588  4306.079400  0.000130      2151  4306.078729  ThI   
 1589  4306.167416  0.000123     26661  4306.167455  ThI   
 1590  4306.546188  0.000158       825               ?     
 1591  4307.515302  0.000353      3034               ?     
 1592  4307.576589  0.000125     16819  4307.578081  ThI   
 1593  4307.887871  0.000477      2453               ?     
 1594  4307.944685  0.001209       783  4307.942481  NoID  
 1595  4308.071423  0.000148       684               ?     
 1596  4308.387577  0.000121    173799  4308.387705  ThI   
 1597  4308.951769  0.000122      4517  4308.952293  NoID  
 1598  4309.113466  0.000121     10350  4309.113220  NoID  
 1599  4309.333556  0.000120     64216  4309.333732  ThI   

 1600  4309.765925  0.000357      6903  4309.766539  ThI   
 1601  4309.811583  0.000167     24213  4309.812046  ThI   
 1602  4310.008928  0.000506       333               ?     
 1603  4310.305917  0.000119    116797  4310.305143  ArII  
 1604  4311.098996  0.000119     69645  4311.099196  ThI   
 1605  4311.204888  0.000119     27678  4311.204894  ThII  
 1606  4311.311553  0.000134      1239  4311.313015  ThI   
 1607  4311.395731  0.000126      1492  4311.395061  ThII  
 1608  4311.849092  0.000526       440               ?     
 1609  4311.970062  0.000147       594               ?     
 1610  4312.169453  0.000119      4714  4312.171125  ThI   
 1611  4312.274392  0.000118     10699  4312.276449  ThI   
 1612  4312.347157  0.000126      1470  4312.346872  NoID  
 1613  4312.449548  0.000120      2935  4312.448280  ThI   
 1614  4312.533095  0.000123      1689  4312.534350  NoID  
 1615  4312.788632  0.000155     19068  4312.788152  ThI   
 1616  4312.840335  0.000191     11070  4312.839657  ThI   
 1617  4313.011992  0.000117     77116  4313.012184  ThI   
 1618  4313.478329  0.000135       797               ?     
 1619  4313.681661  0.000324       555               ?     
 1620  4314.523422  0.000117      7135  4314.521582  ThII  
 1621  4314.629069  0.000120      2572  4314.626127  NoID  
