# units Angstroms
10595.9 10 UKIRT
10877.9 80 NOAO
11190.2 100 NOAO
11260.8 200 NOAO
11262.2 150 NOAO
11460.6 500 NOAO
11795.6 150 NOAO
11822.6 1500 NOAO
12000.4 600 NOAO
12080.5 160 NOAO
12121.1 140 NOAO
12126.8 40 NOAO
12207.9 800 NOAO
12785.9 150 NOAO
12801.9 120 NOAO
12865.4 100 NOAO
12882.4 750 NOAO
12988.8 25 NOAO
13025.9 30 NOAO
13181. 1100 NOAO
13244.3 110 NOAO
13341.5 120 NOAO
13626.1 1000 NOAO
13637.9 2400 NOAO
13662.1 800 NOAO
13714.8 200 NOAO
13742.6 600 NOAO
13836.6 150 NOAO
13886.6 500 NOAO
13927.6 700 NOAO
13942.7 200 NOAO
13977.8 150 NOAO
14108.1 140 NOAO
14160.1 50 NOAO
14344.5 30 NOAO
14351.3 800 NOAO
14406.2 180 NOAO
14430.7 2000 NOAO
14473. 140 NOAO
14738.5 1600 NOAO
14766.7 550 NOAO
14769.5 450 NOAO
14966. 400 NOAO
15009.4 120 NOAO
15213.7 140 NOAO
15243.8 1700 NOAO
15330.7 130 NOAO
15339.2 1500 NOAO
15376.2 700 NOAO
15478.2 200 NOAO
15639.7 40 NOAO
15685.3 180 NOAO
15824.4 120 NOAO
15895.1 100 NOAO
16319.6 50 NOAO
16470.3 70 NOAO
16577.5 70 NOAO
16731.1 200 NOAO
16789.7 2000 NOAO
16858.1 1000 NOAO
16895.1 2400 NOAO
16901.4 1600 NOAO
16940.4 1800 NOAO
17074.6 40 NOAO
17103.4 600 NOAO
17235.4 30 NOAO
17372.4 700 NOAO
17409.2 120 NOAO
17621.6 150 NOAO
17847.6 650 NOAO
18007.1 700 NOAO
18104.3 80 NOAO
18172.3 2600 NOAO
18190. 90 NOAO
18423.4 20 NOAO
18586. 150 NOAO
18701.5 300 NOAO
18790.1 170 NOAO
18792.9 50 NOAO
18802.8 200 NOAO
20215.3 140 NOAO
20429.5 300 NOAO
21171.3 600 NOAO
21908.5 1800 NOAO
22491.8 120 NOAO
23346.7 180 NOAO
23508.8 70 NOAO
24267.2 120 NOAO
24298.8 180 NOAO
24775.2 90 NOAO
25240.7 600 NOAO
26768.4 50 NOAO
26907.6 40 NOAO
28702.0 100 UKIRT
28861.0 200 UKIRT
29477.0 300 UKIRT
29932.0 50 UKIRT
30488.0 100 UKIRT
30678.0 80 UKIRT
30753.0 30 UKIRT
30957.0 10 UKIRT
31371.0 10 UKIRT
31649.0 10 UKIRT
33579.0 400 UKIRT
33881.0 100 UKIRT
34207.0 30 UKIRT
34745.0 40 UKIRT
35243.0 10 UKIRT
35699.0 20 UKIRT
36014.0 40 UKIRT
36345.0 400 IRTF
37172.0 5 UKIRT
37403.0 10 UKIRT
37581.0 10 UKIRT
40431.0 10 UKIRT
40859.0 10 UKIRT
46694.0 100 IRTF
