# units Angstroms
18586. Kr 150 NOAO
18637.4 Ar 8 UKIRT
18701.5 Kr 300 NOAO
18750.1 Ar 5 UKIRT
18790.1 Kr 170 NOAO
18792.9 Kr 50 NOAO
18802.8 Kr 200 NOAO
19822.9 Ar 5 NOAO
19971.2 Ar 4 NOAO
20215.3 Kr 140 NOAO
20322.6 Ar 2 NOAO
20429.5 Kr 300 NOAO
20621.9 Ar 50 NOAO
20652.8 Ar 2 NOAO
20739.3 Ar 2 NOAO
20741. Ar B NOAO
20816.7 Ar 2 NOAO
20991.8 Ar 30 NOAO
21171.3 Kr 600 NOAO
21338.7 Ar 1 NOAO
21540.1 Ar 8 NOAO
21908.5 Kr 1800 NOAO
22045.6 Ar 1 NOAO
22083.2 Ar 8 NOAO
22491.8 Kr 120 NOAO
23139.5 Ar 20 NOAO
23346.7 Kr 180 NOAO
23508.8 Kr 70 NOAO
23851.5 Ar 15 UKIRT
23973.1 Ar 20 NOAO
24267.2 Kr 120 NOAO
24298.8 Kr 180 NOAO
24775.2 Kr 90 NOAO
25132.1 Ar 25 NOAO
25240.7 Kr 600 NOAO
25491.6 Ar 3 NOAO
25512.2 Ar 8 NOAO
25668. Ar 10 NOAO
26768.4 Kr 50 NOAO
26843. Ar 4 NOAO
26907.6 Kr 40 NOAO
26917.1 Ar 40 NOAO
27233. Ar 3 NOAO
28202.4 Ar 30 NOAO
28246. Ar 30 NOAO
28321.8 Ar 25 NOAO
28435. Ar 1 NOAO
28506.0 Ar 10 UKIRT
28538.4 Ar 3 NOAO
28620.2 Ar 200 NOAO
28697.9 Ar 50 NOAO
28702.0 Kr 100 UKIRT
28712.8 Ar 5 NOAO
28782.9 Ar 500 NOAO
28843.1 Ar 100 NOAO
28861.0 Kr 200 UKIRT
28989.2 Ar 2 NOAO
29108.5 Ar 3 NOAO
29134.8 Ar 50 NOAO
29262.9 Ar 4 NOAO
29280.7 Ar 20 NOAO
29477.0 Kr 300 UKIRT
29486.0 Ar 8 UKIRT
29566.3 Ar 3 NOAO
29932.0 Kr 50 UKIRT
30101.0 Ar 100 UKIRT
30354.0 Ar 20 UKIRT
30488.0 Kr 100 UKIRT
30612.0 Ar 20 UKIRT
30678.0 Kr 80 UKIRT
30753.0 Kr 30 UKIRT
30957.0 Kr 10 UKIRT
31371.0 Kr 10 UKIRT
31649.0 Kr 10 UKIRT
31808.0 Ar 10 UKIRT
31988.0 Ar 20 UKIRT
32369.0 Ar 5 UKIRT
32882.0 Ar 8 UKIRT
33049.0 Ar 20 UKIRT
33489.0 Ar 8 UKIRT
33579.0 Kr 400 UKIRT
33881.0 Kr 100 UKIRT
33890.0 Ar 150 UKIRT
34207.0 Kr 30 UKIRT
34745.0 Kr 40 UKIRT
34900.0 Ar 10 UKIRT
35243.0 Kr 10 UKIRT
35658.0 Ar 5 UKIRT
35699.0 Kr 20 UKIRT
35839.0 Ar 40 UKIRT
36014.0 Kr 40 UKIRT
36345.0 Kr 400 IRTF
36866.0 Ar 20 UKIRT
37172.0 Kr 5 UKIRT
37403.0 Kr 10 UKIRT
37500.0 Ar 5 UKIRT
37581.0 Kr 10 UKIRT
38117.0 Ar 10 NIRSPEC
