FILENAME:	2br015_8.txt
TITLE:	AFC Filter 14 ZnSe Test Piece Sample 2BR @ 15K, 2.6°i, In f/8 (CDCR 04848/04849, SMCR 01987)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 14 (QH2) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	30-Nov-2001
AUTHOR:	Richard Sherwood
CHANNEL:	14
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.742	0.25444
1.743	0.04415
1.744	-0.16652
1.745	0.30273
1.746	-0.07215
1.747	0.22861
1.748	-0.25697
1.749	-0.19105
1.750	0.03493
1.751	0.12526
1.752	0.02510
1.753	0.30132
1.754	0.01640
1.755	0.17737
1.756	0.23336
1.757	0.21970
1.758	-0.05161
1.759	0.19181
1.760	0.20526
1.761	-0.06525
1.762	-0.11501
1.763	-0.18300
1.764	0.06890
1.765	0.12607
1.766	0.28951
1.767	-0.32381
1.768	0.76344
1.769	-0.00617
1.770	-0.02422
1.771	0.09758
1.772	0.00770
1.773	-0.26020
1.774	-0.16679
1.775	-0.00728
1.776	0.26030
1.777	-0.02296
1.778	0.45901
1.779	0.04564
1.780	-0.16416
1.781	0.11360
1.782	-0.26120
1.783	-0.34773
1.784	-0.51866
1.785	0.22100
1.786	-0.33944
1.787	0.20896
1.788	0.50316
1.789	0.02548
1.790	-0.17545
1.791	-0.06213
1.792	-0.25713
1.793	0.11552
1.794	0.01185
1.795	-0.24844
1.796	0.33089
1.797	0.11442
1.798	0.10636
1.799	0.06637
1.800	0.21599
1.801	-0.07063
1.802	-0.11217
1.803	0.08327
1.804	0.01212
1.805	-0.02329
1.806	0.29657
1.807	0.22265
1.808	-0.01622
1.809	0.03672
1.810	-0.08407
1.811	0.15422
1.812	-0.08790
1.813	0.06723
1.814	0.33781
1.815	0.01638
1.816	-0.05984
1.817	-0.00889
1.818	0.12751
1.819	-0.14152
1.820	0.56760
1.821	0.62478
1.822	-0.22859
1.823	-0.12219
1.824	-0.26663
1.825	-0.17691
1.826	-0.06363
1.827	0.45784
1.828	0.09188
1.829	-0.42852
1.830	0.37883
1.831	-0.10969
1.832	-0.11926
1.833	0.17596
1.834	-0.07940
1.835	-0.35182
1.836	0.17585
1.837	0.38948
1.838	-0.23939
1.839	-0.00004
1.840	0.01479
1.841	0.19495
1.842	-0.12554
1.843	-0.03643
1.844	0.18404
1.845	0.23141
1.846	0.18579
1.847	-0.06576
1.848	-0.16054
1.849	0.11334
1.850	0.21946
1.851	0.15192
1.852	-0.17787
1.853	0.25997
1.854	-0.13406
1.855	0.02237
1.856	-0.05743
1.857	0.09535
1.858	0.12819
1.859	0.24319
1.860	0.24322
1.861	-0.01976
1.862	-0.01951
1.863	-0.18445
1.864	-0.06582
1.865	-0.05613
1.866	0.16904
1.867	0.34384
1.868	0.03525
1.869	-0.33242
1.870	-0.17519
1.871	-0.66411
1.872	0.19772
1.873	0.26542
1.874	0.23782
1.875	0.16352
1.876	-0.40594
1.877	-0.09461
1.878	-0.26654
1.879	-0.00174
1.880	-0.05667
1.881	0.10000
1.882	0.14916
1.883	0.12566
1.884	0.00345
1.885	-0.01753
1.886	0.12654
1.887	-0.16127
1.888	0.09688
1.889	0.20031
1.890	0.05363
1.891	0.14678
1.892	0.16391
1.893	0.23334
1.894	-0.06523
1.895	0.12466
1.896	0.13765
1.897	-0.01210
1.898	0.01265
1.899	0.12731
1.900	-0.14466
1.901	-0.09555
1.902	0.30026
1.903	0.08692
1.904	0.22255
1.905	-0.08156
1.906	-0.40097
1.907	-0.09007
1.908	-0.29169
1.909	0.02088
1.910	-0.08827
1.911	-0.14300
1.912	-0.02989
1.913	-0.12555
1.914	0.14608
1.915	-0.00543
1.916	0.47189
1.917	0.27565
1.918	-0.09758
1.919	-0.09670
1.920	0.29421
1.921	0.09921
1.922	0.33875
1.923	0.26080
1.924	-0.10278
1.925	-0.12866
1.926	-0.06047
1.927	-0.07872
1.928	0.12717
1.929	0.17502
1.930	0.11427
1.931	0.07237
1.932	-0.09873
1.933	-0.05029
1.934	0.18608
1.935	-0.06567
1.936	-0.24702
1.937	0.33186
1.938	0.16521
1.939	0.33969
1.940	-0.23204
1.941	0.08051
1.942	0.21979
1.943	-0.20504
1.944	0.10446
1.945	-0.06710
1.946	-0.01355
1.947	0.05553
1.948	0.13147
1.949	0.05631
1.950	0.20670
1.951	0.20632
1.952	0.08274
1.953	-0.09903
1.954	0.01326
1.955	0.07628
1.956	0.02526
1.957	0.10782
1.958	0.04964
1.959	-0.06156
1.960	-0.22583
1.961	-0.10515
1.962	-0.17888
1.963	-0.11350
1.964	-0.09253
1.965	0.11785
1.966	0.13231
1.967	-0.07139
1.968	0.15277
1.969	-0.05327
1.970	0.30011
1.971	-0.08673
1.972	-0.23108
1.973	-0.00545
1.974	-0.03046
1.975	-0.10201
1.976	0.12402
1.977	0.03204
1.978	-0.02969
1.979	-0.04973
1.980	-0.26579
1.981	0.17973
1.982	0.06251
1.983	0.13249
1.984	0.09076
1.985	-0.16920
1.986	-0.00759
1.987	0.06541
1.988	-0.15341
1.989	-0.02588
1.990	0.11876
1.991	-0.05747
1.992	0.14634
1.993	-0.03789
1.994	0.27423
1.995	0.10763
1.996	0.04497
1.997	0.02849
1.998	0.13477
1.999	0.08587
2.000	-0.12550
2.001	0.00402
2.002	0.07314
2.003	0.00269
2.004	0.19012
2.005	0.12530
2.006	-0.04813
2.007	-0.38542
2.008	-0.06284
2.009	0.14632
2.010	-0.04502
2.011	0.11144
2.012	0.28213
2.013	-0.36024
2.014	0.36433
2.015	-0.41857
2.016	0.10346
2.017	-0.00921
2.018	-0.01203
2.019	0.05671
2.020	0.26737
2.021	0.04862
2.022	-0.16571
2.023	-0.04795
2.024	-0.07011
2.025	0.17386
2.026	-0.02682
2.027	0.20958
2.028	0.00839
2.029	0.25721
2.030	0.35842
2.031	0.03124
2.032	-0.04448
2.033	0.11440
2.034	-0.06318
2.035	0.13442
2.036	0.00740
2.037	-0.07084
2.038	-0.03013
2.039	-0.01007
2.040	0.36231
2.041	0.03222
2.042	0.07658
2.043	0.26746
2.044	0.22499
2.045	0.08859
2.046	-0.18835
2.047	0.00431
2.048	-0.21212
2.049	-0.07924
2.050	0.02694
2.051	0.20209
2.052	-0.10114
2.053	-0.08044
2.054	0.08417
2.055	-0.01898
2.056	0.26555
2.057	-0.26191
2.058	-0.32299
2.059	-0.07413
2.060	0.24500
2.061	-0.26309
2.062	0.07628
2.063	0.21531
2.064	0.43023
2.065	0.02680
2.066	0.10903
2.067	-0.10295
2.068	-0.14287
2.069	-0.07093
2.070	0.02641
2.071	0.14224
2.072	0.33284
2.073	0.02954
2.074	-0.02718
2.075	0.17187
2.076	-0.11479
2.077	-0.25956
2.078	0.12258
2.079	-0.05345
2.080	-0.21603
2.081	-0.14267
2.082	-0.38809
2.083	-0.00784
2.084	0.25346
2.085	0.10322
2.086	0.39151
2.087	0.43627
2.088	0.07044
2.089	0.29718
2.090	0.26194
2.091	0.10014
2.092	0.15140
2.093	0.14571
2.094	-0.15852
2.095	0.20485
2.096	0.08064
2.097	0.25063
2.098	0.12011
2.099	0.00444
2.100	0.24249
2.101	0.29709
2.102	-0.08165
2.103	-0.00107
2.104	-0.09334
2.105	-0.03116
2.106	-0.10866
2.107	-0.17135
2.108	0.01818
2.109	0.34847
2.110	-0.21486
2.111	0.23327
2.112	0.30993
2.113	-0.12428
2.114	1.16287
2.115	0.36003
2.116	0.52343
2.117	0.95213
2.118	0.74029
2.119	-0.26688
2.120	-0.72161
2.121	-0.96873
2.122	0.49372
2.123	0.48691
2.124	0.38257
2.125	-0.02611
2.126	-0.25807
2.127	0.08691
2.128	0.18376
2.129	0.13860
2.130	-0.35487
2.131	-0.30195
2.132	-0.34207
2.133	-0.15322
2.134	0.11427
2.135	0.22280
2.136	0.39378
2.137	-0.28541
2.138	0.02053
2.139	0.21772
2.140	-0.33748
2.141	-0.24554
2.142	-0.16741
2.143	-0.21415
2.144	0.47740
2.145	0.18691
2.146	0.13157
2.147	1.01982
2.148	0.40504
2.149	0.30598
2.150	0.07745
2.151	-0.13029
2.152	-0.14924
2.153	1.01237
2.154	-0.37550
2.155	0.59115
2.156	0.15597
2.157	-0.12143
2.158	-0.17787
2.159	-0.20182
2.160	-0.03492
2.161	0.50695
2.162	-0.00829
2.163	0.30730
2.164	0.11920
2.165	0.30779
2.166	-0.25655
2.167	-0.47693
2.168	-0.71678
2.169	0.44596
2.170	1.18421
2.171	0.23313
2.172	0.44030
2.173	-0.03713
2.174	0.39026
2.175	-0.58468
2.176	-0.02632
2.177	-0.24744
2.178	0.43703
2.179	0.26728
2.180	0.53364
2.181	-0.00890
2.182	-0.14471
2.183	-0.03132
2.184	0.56875
2.185	0.62145
2.186	-0.09389
2.187	-0.88801
2.188	-0.28338
2.189	-0.40292
2.190	0.08647
2.191	-0.05072
2.192	-0.66179
2.193	-0.12419
2.194	-0.01983
2.195	-0.33315
2.196	-0.06701
2.197	0.23725
2.198	0.54410
2.199	0.28802
2.200	0.28212
2.201	-0.30820
2.202	-0.28185
2.203	0.27091
2.204	0.00478
2.205	0.49042
2.206	0.04560
2.207	0.37043
2.208	0.62841
2.209	0.25202
2.210	0.52917
2.211	-0.16467
2.212	0.16780
2.213	0.30217
2.214	-0.15501
2.215	-0.07909
2.216	0.32213
2.217	0.14725
2.218	0.20178
2.219	-0.10101
2.220	-0.20932
2.221	-0.54492
2.222	0.13418
2.223	0.02429
2.224	0.39719
2.225	0.27908
2.226	0.06294
2.227	-0.00921
2.228	0.86469
2.229	1.00221
2.230	2.12407
2.231	-0.14341
2.232	-0.30263
2.233	0.90588
2.234	1.55196
2.235	0.89306
2.236	0.12470
2.237	0.46269
2.238	0.43136
2.239	0.01613
2.240	-0.80794
2.241	-0.28788
2.242	0.05625
2.243	0.07081
2.244	0.10848
2.245	-0.06069
2.246	-0.21784
2.247	-0.01213
2.248	-0.34493
2.249	-0.40738
2.250	-0.38607
2.251	-0.22500
2.252	-0.05455
2.253	-0.19564
2.254	-0.21769
2.255	-0.42616
2.256	-0.11433
2.257	0.37676
2.258	0.49215
2.259	0.19037
2.260	0.21301
2.261	0.26016
2.262	-0.05927
2.263	-0.07813
2.264	-0.01259
2.265	-0.27181
2.266	-0.01147
2.267	0.19273
2.268	0.16098
2.269	0.04504
2.270	0.04274
2.271	0.27148
2.272	0.04539
2.273	-0.07532
2.274	0.17994
2.275	0.03609
2.276	-0.02333
2.277	-0.22625
2.278	-0.06391
2.279	0.14000
2.280	0.08437
2.281	-0.49692
2.282	-0.34842
2.283	0.09124
2.284	0.27110
2.285	-0.12278
2.286	-0.22041
2.287	-0.09092
2.288	-0.02926
2.289	-0.16441
2.290	0.19264
2.291	-0.25236
2.292	0.10728
2.293	-0.05280
2.294	-0.12266
2.295	0.66525
2.296	0.11443
2.297	-0.33771
2.298	0.33905
2.299	0.57589
2.300	-0.14376
2.301	-0.02489
2.302	-0.09267
2.303	0.07726
2.304	0.12945
2.305	-0.08505
2.306	-0.11415
2.307	-0.02459
2.308	0.19950
2.309	0.08757
2.310	-0.06478
2.311	0.23488
2.312	0.14318
2.313	-0.01290
2.314	-0.00035
2.315	-0.22584
2.316	-0.08303
2.317	-0.01207
2.318	0.02507
2.319	0.05203
2.320	-0.01649
2.321	-0.00530
2.322	-0.00322
2.323	0.09348
2.324	0.12373
2.325	0.17997
2.326	0.21140
2.327	0.19592
2.328	0.13889
2.329	0.02080
2.330	-0.02125
2.331	-0.08129
2.332	-0.16970
2.333	-0.05691
2.334	-0.04931
2.335	-0.05464
2.336	0.00092
2.337	0.21675
2.338	0.10362
2.339	0.00847
2.340	-0.01451
2.341	0.00986
2.342	0.05034
2.343	-0.05490
2.344	-0.05967
2.345	-0.26121
2.346	-0.22674
2.347	-0.16135
2.348	0.06941
2.349	0.01909
2.350	-0.06523
2.351	-0.05057
2.352	0.10203
2.353	0.20994
2.354	0.21831
2.355	0.12045
2.356	0.12928
2.357	-0.06740
2.358	0.12164
2.359	0.16615
2.360	0.17629
2.361	0.05914
2.362	-0.02359
2.363	0.05973
2.364	-0.00534
2.365	-0.12893
2.366	-0.00493
2.367	-0.17185
2.368	-0.02192
2.369	0.05731
2.370	0.12239
2.371	0.12535
2.372	0.20297
2.373	0.08015
2.374	0.03978
2.375	0.00179
2.376	0.06901
2.377	0.02742
2.378	0.05340
2.379	0.06534
2.380	0.08264
2.381	0.12749
2.382	0.17108
2.383	0.02512
2.384	-0.08392
2.385	0.01290
2.386	-0.01931
2.387	-0.04054
2.388	0.06797
2.389	0.17806
2.390	0.12530
2.391	0.03848
2.392	0.10554
2.393	0.07875
2.394	0.08331
2.395	0.02437
2.396	-0.03764
2.397	-0.02154
2.398	-0.05710
2.399	-0.02970
2.400	0.06579
2.401	0.07175
2.402	0.14962
2.403	0.04804
2.404	0.06286
2.405	0.00519
2.406	0.06913
2.407	0.07174
2.408	-0.04833
2.409	-0.03392
2.410	-0.05925
2.411	0.10411
2.412	0.02242
2.413	-0.05310
2.414	-0.06349
2.415	0.00565
2.416	0.05413
2.417	0.07505
2.418	0.10926
2.419	0.06374
2.420	-0.01821
2.421	-0.05166
2.422	0.01113
2.423	0.08977
2.424	0.09551
2.425	0.05034
2.426	0.00268
2.427	0.01447
2.428	0.01704
2.429	0.01188
2.430	0.03860
2.431	-0.00921
2.432	-0.08451
2.433	-0.07825
2.434	0.07659
2.435	0.20661
2.436	0.00391
2.437	-0.11223
