FILENAME:	36b03015.txt
TITLE:	CanariCam Q-Wide CdTe Sample 36B @ 30K, 3°I, T% (CDCR 05096/05102, SMCR 02266)
FORMAL_COMMENT:	CanariCam Q-Wide Filter
CREATION_DATE:	03-Jul-2003
RUN_DATE:	02-Jul-2003
AUTHOR:	Richard Sherwood
CHANNEL:	Q-WIDE
CHANNEL_VERSION:	n/a
MODEL:	Window
TEMPERATURE:	30K
ANGLE:	3°
FNUMBER:	f/8
DATA:
1.745	0.02523
1.746	-0.08281
1.747	-0.10603
1.748	-0.02785
1.749	-0.04163
1.750	0.03265
1.751	0.11861
1.752	0.14304
1.753	0.07007
1.754	0.00498
1.755	-0.01030
1.756	0.16398
1.757	0.04988
1.758	-0.05854
1.759	-0.00742
1.760	0.07966
1.761	0.07564
1.762	0.06089
1.763	0.07413
1.764	0.04245
1.765	0.08408
1.766	0.01964
1.767	-0.04056
1.768	0.07465
1.769	0.14728
1.770	0.05885
1.771	0.17862
1.772	0.20421
1.773	0.04944
1.774	0.10112
1.775	0.16102
1.776	0.14318
1.777	0.10404
1.778	0.10310
1.779	0.02119
1.780	-0.01291
1.781	-0.04430
1.782	-0.19173
1.783	-0.10450
1.784	0.00854
1.785	-0.05578
1.786	-0.04491
1.787	0.01731
1.788	0.01553
1.789	0.06517
1.790	0.05797
1.791	0.09321
1.792	0.02197
1.793	-0.03382
1.794	-0.10516
1.795	0.02615
1.796	0.08761
1.797	0.04360
1.798	0.05902
1.799	0.04572
1.800	0.10188
1.801	0.04608
1.802	-0.05140
1.803	-0.02140
1.804	0.05999
1.805	0.03249
1.806	0.04033
1.807	0.02321
1.808	-0.00879
1.809	-0.06149
1.810	-0.05083
1.811	0.03454
1.812	0.07914
1.813	0.05332
1.814	0.02564
1.815	0.08192
1.816	0.05746
1.817	-0.00311
1.818	-0.03478
1.819	-0.06638
1.820	-0.05623
1.821	-0.01774
1.822	0.00705
1.823	-0.03513
1.824	0.04824
1.825	0.05859
1.826	0.03599
1.827	0.04858
1.828	-0.03409
1.829	-0.04949
1.830	-0.04044
1.831	-0.05825
1.832	0.01868
1.833	0.04077
1.834	0.04081
1.835	0.04809
1.836	0.01517
1.837	0.06122
1.838	0.02095
1.839	-0.03684
1.840	0.02804
1.841	0.12462
1.842	0.09167
1.843	0.04102
1.844	0.04979
1.845	0.03493
1.846	0.05492
1.847	0.13202
1.848	0.13124
1.849	0.10045
1.850	0.07312
1.851	0.00427
1.852	0.05890
1.853	0.11330
1.854	0.04836
1.855	-0.00329
1.856	0.00865
1.857	-0.00373
1.858	0.00961
1.859	-0.01158
1.860	-0.02608
1.861	-0.00905
1.862	0.02976
1.863	0.06598
1.864	0.03895
1.865	-0.02137
1.866	-0.03233
1.867	0.01408
1.868	0.05599
1.869	-0.03774
1.870	-0.03552
1.871	-0.02647
1.872	0.04099
1.873	0.04788
1.874	0.00592
1.875	-0.02454
1.876	0.04043
1.877	0.07017
1.878	0.03033
1.879	0.11881
1.880	0.06022
1.881	-0.00142
1.882	0.01948
1.883	-0.00821
1.884	0.00320
1.885	-0.04567
1.886	-0.01573
1.887	-0.01018
1.888	-0.05344
1.889	0.00393
1.890	0.03583
1.891	0.03166
1.892	0.00372
1.893	-0.04024
1.894	-0.02599
1.895	0.07575
1.896	0.03120
1.897	-0.05069
1.898	-0.00811
1.899	0.04424
1.900	0.02454
1.901	-0.00308
1.902	-0.01986
1.903	-0.03686
1.904	-0.05638
1.905	-0.04773
1.906	-0.03571
1.907	-0.03703
1.908	0.04459
1.909	0.09260
1.910	0.05058
1.911	0.05442
1.912	0.07079
1.913	0.02296
1.914	-0.04499
1.915	-0.02546
1.916	0.01608
1.917	0.03715
1.918	0.00684
1.919	-0.01682
1.920	0.01884
1.921	-0.03294
1.922	-0.03771
1.923	0.02769
1.924	0.04702
1.925	0.02217
1.926	-0.02844
1.927	-0.01546
1.928	0.00296
1.929	-0.02222
1.930	-0.04256
1.931	-0.00485
1.932	0.01104
1.933	0.01927
1.934	0.01728
1.935	-0.03776
1.936	0.01131
1.937	0.02363
1.938	0.04390
1.939	0.04173
1.940	0.06363
1.941	0.05916
1.942	-0.02263
1.943	-0.05065
1.944	0.01011
1.945	0.05688
1.946	0.03381
1.947	-0.04092
1.948	-0.04559
1.949	-0.01318
1.950	0.02212
1.951	0.03937
1.952	0.03226
1.953	0.04498
1.954	0.02613
1.955	0.08652
1.956	0.13809
1.957	0.09462
1.958	0.03446
1.959	0.02751
1.960	0.03384
1.961	-0.01703
1.962	-0.04238
1.963	-0.03408
1.964	0.01512
1.965	0.05910
1.966	0.05026
1.967	0.05710
1.968	0.09897
1.969	0.09342
1.970	-0.01681
1.971	-0.04527
1.972	-0.00719
1.973	-0.00835
1.974	0.01275
1.975	0.01562
1.976	-0.02063
1.977	-0.00009
1.978	0.04811
1.979	0.03634
1.980	0.04971
1.981	0.07801
1.982	0.00838
1.983	-0.04819
1.984	-0.01804
1.985	-0.01584
1.986	-0.01428
1.987	-0.01699
1.988	-0.01403
1.989	0.05894
1.990	0.03895
1.991	0.01250
1.992	0.03049
1.993	0.05083
1.994	0.02582
1.995	0.02273
1.996	0.05612
1.997	0.06254
1.998	0.05474
1.999	-0.01376
2.000	-0.07699
2.001	-0.03161
2.002	0.02948
2.003	0.03876
2.004	0.00416
2.005	-0.05251
2.006	-0.02025
2.007	0.01691
2.008	-0.00046
2.009	-0.01607
2.010	-0.00865
2.011	0.00624
2.012	-0.00768
2.013	0.01068
2.014	0.01902
2.015	0.01633
2.016	0.02268
2.017	0.01194
2.018	-0.00950
2.019	0.00301
2.020	-0.00878
2.021	-0.00743
2.022	0.00187
2.023	-0.04062
2.024	-0.05946
2.025	-0.00316
2.026	0.03204
2.027	0.02092
2.028	0.03883
2.029	0.06000
2.030	0.01367
2.031	-0.02488
2.032	-0.01279
2.033	0.00405
2.034	-0.01395
2.035	-0.00468
2.036	-0.01537
2.037	-0.04359
2.038	-0.02870
2.039	-0.03331
2.040	0.00133
2.041	0.09157
2.042	0.09206
2.043	0.03580
2.044	0.05793
2.045	0.04738
2.046	-0.05399
2.047	-0.06441
2.048	0.02320
2.049	0.05887
2.050	0.03189
2.051	0.05857
2.052	0.07638
2.053	0.07393
2.054	0.04487
2.055	0.07259
2.056	0.19935
2.057	0.12520
2.058	-0.00217
2.059	0.01461
2.060	0.06590
2.061	0.09066
2.062	0.04559
2.063	-0.01018
2.064	-0.00496
2.065	0.01849
2.066	0.00159
2.067	0.01456
2.068	0.04285
2.069	0.02908
2.070	-0.00381
2.071	0.00419
2.072	-0.02521
2.073	-0.09714
2.074	-0.06637
2.075	0.03482
2.076	0.11759
2.077	0.06397
2.078	-0.05106
2.079	-0.08049
2.080	-0.03121
2.081	0.06015
2.082	0.05507
2.083	0.03817
2.084	0.07659
2.085	0.06859
2.086	0.06062
2.087	0.02168
2.088	-0.03693
2.089	-0.00803
2.090	0.03978
2.091	0.04537
2.092	0.02193
2.093	0.00415
2.094	0.00592
2.095	-0.01540
2.096	-0.03722
2.097	-0.00099
2.098	0.04489
2.099	0.03433
2.100	0.05634
2.101	0.09310
2.102	0.03121
2.103	0.00822
2.104	0.00737
2.105	0.01228
2.106	0.05256
2.107	-0.01896
2.108	-0.13125
2.109	-0.09022
2.110	0.05333
2.111	0.10981
2.112	0.15351
2.113	0.14757
2.114	0.01192
2.115	0.01078
2.116	0.11054
2.117	0.02040
2.118	-0.00392
2.119	0.06248
2.120	0.03985
2.121	-0.05209
2.122	-0.12422
2.123	0.00773
2.124	0.11498
2.125	0.11644
2.126	0.08922
2.127	-0.04324
2.128	-0.09629
2.129	0.03499
2.130	0.14870
2.131	0.15712
2.132	0.13323
2.133	0.03200
2.134	-0.20120
2.135	-0.33998
2.136	-0.13727
2.137	0.06781
2.138	0.03333
2.139	0.01326
2.140	0.13509
2.141	0.12607
2.142	0.04915
2.143	0.07546
2.144	0.06874
2.145	0.00447
2.146	-0.05258
2.147	0.05048
2.148	0.10628
2.149	0.00512
2.150	-0.05761
2.151	-0.12200
2.152	-0.26404
2.153	-0.33057
2.154	-0.25288
2.155	-0.14041
