FILENAME:	2bg015_6.txt
TITLE:	AFC Filter 02 ZnS Test Piece Sample 2BG @ 15K, 2.6°i, In f/8 (CDCR 04739/04744, SMCR 01880)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 02 (SiC) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	26-Jun-2001
AUTHOR:	Richard Sherwood
CHANNEL:	02
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.740	-0.32968
1.741	-0.07853
1.742	0.06664
1.743	0.30570
1.744	0.13908
1.745	0.42367
1.746	0.18080
1.747	-0.07749
1.748	0.38525
1.749	-0.35371
1.750	-0.21367
1.751	0.38101
1.752	0.08278
1.753	0.26728
1.754	0.58875
1.755	0.24580
1.756	-0.10944
1.757	-0.29186
1.758	0.31950
1.759	0.06395
1.760	-0.07660
1.761	0.14951
1.762	0.34879
1.763	0.11729
1.764	0.28642
1.765	0.38996
1.766	-0.21116
1.767	0.56581
1.768	0.14080
1.769	0.46522
1.770	0.22366
1.771	0.02945
1.772	0.03446
1.773	-0.04680
1.774	0.10480
1.775	-0.49873
1.776	0.33514
1.777	0.55434
1.778	1.26375
1.779	-0.33158
1.780	0.26085
1.781	0.23605
1.782	-0.08592
1.783	-0.11306
1.784	-0.03059
1.785	0.35495
1.786	0.33309
1.787	-0.33229
1.788	0.02073
1.789	-0.08097
1.790	-0.13393
1.791	0.15461
1.792	0.02698
1.793	0.21356
1.794	0.27925
1.795	0.06221
1.796	0.07894
1.797	0.39618
1.798	0.04814
1.799	-0.07307
1.800	-0.18130
1.801	-0.38900
1.802	-0.01526
1.803	0.27124
1.804	-0.15655
1.805	-0.10423
1.806	0.22830
1.807	-0.09210
1.808	0.39808
1.809	0.14878
1.810	0.09933
1.811	0.11590
1.812	-0.06558
1.813	0.16455
1.814	-0.13375
1.815	-0.01470
1.816	0.15881
1.817	-0.33605
1.818	0.10422
1.819	0.25537
1.820	0.09307
1.821	0.02868
1.822	0.10817
1.823	0.24621
1.824	-0.01856
1.825	-0.21743
1.826	-0.14021
1.827	-0.04959
1.828	0.02687
1.829	0.18975
1.830	-0.07045
1.831	-0.37662
1.832	0.36427
1.833	-0.11661
1.834	0.02641
1.835	0.19152
1.836	-0.10389
1.837	0.12351
1.838	0.32096
1.839	0.18029
1.840	0.30213
1.841	-0.08553
1.842	-0.10950
1.843	0.12728
1.844	0.00262
1.845	0.06085
1.846	-0.12969
1.847	0.40818
1.848	0.19547
1.849	0.24765
1.850	-0.04987
1.851	-0.08994
1.852	0.01078
1.853	0.13190
1.854	0.00611
1.855	0.41633
1.856	0.16478
1.857	-0.03129
1.858	0.03970
1.859	-0.00140
1.860	0.54881
1.861	0.14600
1.862	-0.12103
1.863	-0.25064
1.864	0.05572
1.865	-0.05106
1.866	0.07546
1.867	0.16637
1.868	0.16709
1.869	-0.34624
1.870	0.04159
1.871	0.18362
1.872	0.39409
