FILENAME:	2b901513.txt
TITLE:	AFC Filter 10 ZnS Test Piece Sample 2B9 @ 15K, 2.6°i, In f/8 (CDCR 04802/04806, SMCR 01941)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 10 (PAH2) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	13-Sep-2001
AUTHOR:	Richard Sherwood
CHANNEL:	10
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.741	0.13147
1.742	-0.08831
1.743	0.34654
1.744	-0.20938
1.745	-0.17308
1.746	0.26395
1.747	-0.06947
1.748	-0.04254
1.749	-0.03106
1.750	0.17911
1.751	0.19258
1.752	-0.03286
1.753	0.01913
1.754	0.06718
1.755	-0.06413
1.756	0.10581
1.757	0.18418
1.758	0.27343
1.759	-0.09947
1.760	-0.15152
1.761	-0.11862
1.762	0.08038
1.763	-0.00944
1.764	-0.03632
1.765	-0.02728
1.766	-0.12463
1.767	0.14785
1.768	0.15903
1.769	0.11684
1.770	-0.03501
1.771	-0.05904
1.772	-0.02965
1.773	0.07291
1.774	-0.12972
1.775	0.12931
1.776	-0.18927
1.777	0.22079
1.778	0.56748
1.779	0.04437
1.780	-0.20832
1.781	0.09909
1.782	-0.29751
1.783	-0.11969
1.784	0.08170
1.785	0.06433
1.786	0.10027
1.787	0.11003
1.788	0.29679
1.789	-0.18875
1.790	0.02166
1.791	0.01128
1.792	0.33657
1.793	-0.05798
1.794	0.17651
1.795	0.08790
1.796	-0.07341
1.797	-0.05501
1.798	-0.18515
1.799	-0.09429
1.800	0.00303
1.801	0.04492
1.802	-0.01438
1.803	-0.04082
1.804	0.24094
1.805	0.03439
1.806	0.15941
1.807	0.01769
1.808	0.16561
1.809	-0.09209
1.810	-0.08953
1.811	-0.00696
1.812	0.25805
1.813	0.14385
1.814	0.16548
1.815	-0.05573
1.816	-0.26595
1.817	0.02044
1.818	-0.17058
1.819	-0.11284
1.820	0.28273
1.821	0.07631
1.822	-0.06300
