FILENAME:	2jb01518.txt
TITLE:	AFC Filter 08 ZnS Test Piece Sample 2JB @ 15K, 2.6°i, In f/8 (CDCR 04856/04858, SMCR 01996)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 08 (SIV) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	19-Dec-2001
AUTHOR:	Richard Sherwood
CHANNEL:	08
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.741	-0.13887
1.742	-0.10630
1.743	0.17329
1.744	0.33817
1.745	0.43343
1.746	-0.24983
1.747	0.19232
1.748	-0.24210
1.749	-0.24224
1.750	-0.03955
1.751	0.25360
1.752	0.42285
1.753	0.01857
1.754	0.07906
1.755	0.03463
1.756	0.26449
1.757	-0.14989
1.758	0.29428
1.759	0.16570
1.760	0.06233
1.761	-0.05144
1.762	-0.24772
1.763	-0.19482
1.764	0.45006
1.765	-0.09656
1.766	0.24704
1.767	0.00555
1.768	-0.11896
1.769	0.32689
1.770	0.06063
1.771	0.16603
1.772	0.34913
1.773	0.24544
1.774	0.38196
1.775	0.37894
1.776	-0.06002
1.777	0.58418
1.778	-0.33005
1.779	0.24131
1.780	-0.16559
1.781	-0.11174
1.782	-0.23440
1.783	-0.11944
1.784	-0.27933
1.785	0.02040
1.786	0.32074
1.787	0.14951
1.788	-0.20991
1.789	0.32904
1.790	0.11493
1.791	0.04372
1.792	0.24758
1.793	0.18509
1.794	-0.04332
1.795	-0.00859
1.796	0.22802
1.797	-0.23000
1.798	-0.10515
1.799	-0.17087
1.800	0.01083
1.801	0.05983
1.802	0.21867
1.803	-0.05953
1.804	-0.10258
1.805	0.10626
1.806	-0.04069
1.807	-0.00022
1.808	-0.00212
1.809	0.16000
1.810	0.02756
1.811	-0.03254
1.812	-0.10012
1.813	-0.10455
1.814	-0.11062
1.815	-0.03156
1.816	0.10884
1.817	0.00752
1.818	0.03623
1.819	0.12788
1.820	-0.27040
1.821	-0.20876
1.822	-0.15067
1.823	-0.15274
1.824	0.04626
1.825	0.12679
1.826	-0.19756
1.827	-0.37814
1.828	0.64921
1.829	0.04087
1.830	0.19628
1.831	0.31263
1.832	0.09737
1.833	0.25997
1.834	0.05398
1.835	0.06192
1.836	0.41525
1.837	-0.01420
1.838	-0.11644
1.839	-0.16368
1.840	-0.27638
1.841	-0.29230
1.842	-0.04729
1.843	0.29254
1.844	0.07691
1.845	0.21972
1.846	-0.06244
1.847	0.05634
1.848	0.43828
1.849	-0.01508
1.850	-0.02510
1.851	-0.04893
1.852	0.26569
1.853	-0.01372
1.854	0.12980
1.855	0.01987
1.856	-0.15853
1.857	-0.00256
1.858	-0.30769
1.859	-0.27712
1.860	0.07126
1.861	0.01059
1.862	0.10610
1.863	-0.13722
1.864	0.10756
1.865	-0.08603
1.866	0.08187
1.867	0.15628
1.868	0.35438
1.869	0.12065
1.870	0.06274
1.871	0.28924
1.872	0.07848
1.873	0.08055
1.874	0.07915
1.875	-0.10863
1.876	0.18915
1.877	0.02960
1.878	-0.15890
1.879	-0.31565
1.880	0.70553
1.881	-0.26334
1.882	-0.22703
1.883	0.09372
1.884	0.07597
1.885	0.12262
1.886	0.13712
1.887	0.16080
1.888	0.03053
1.889	0.09165
1.890	0.17824
1.891	-0.00803
1.892	-0.11372
1.893	-0.28567
1.894	-0.03708
1.895	0.10669
