The University of Reading, Infrared Multilayer Laboratory
http://www.cyber.rdg.ac.uk/irfilters/
---------------------------------------------------------
FILENAME:	2ng015_8.txt
TITLE: 	AFC Filter 22 CdTe S29 Sample 2F8 @ 15K, 2.6°I, In f/8 (CDCR 04928/04959, SMCR 02117)
CREATION_DATE:	13-Aug-2003
AUTHOR:	Richard Sherwood
TEMPERATURE:	15K
ANGLE:	0°
DATA:
1.746	-0.05181
1.747	0.12977
1.748	0.05754
1.749	-0.11354
1.750	0.05363
1.751	0.08968
1.752	0.11683
1.753	0.01513
1.754	-0.01061
1.755	-0.01912
1.756	-0.02496
1.757	0.02642
1.758	0.13279
1.759	0.06142
1.760	0.08546
1.761	-0.00132
1.762	0.08814
1.763	0.08706
1.764	0.00160
1.765	0.01477
1.766	-0.01066
1.767	0.02253
1.768	0.03214
1.769	0.08309
1.770	0.04431
1.771	0.00973
1.772	0.04580
1.773	0.04378
1.774	0.06790
1.775	0.10032
1.776	0.09866
1.777	0.28458
1.778	0.81984
1.779	-0.25214
1.780	0.01192
1.781	-0.00491
1.782	-0.09419
1.783	-0.16771
1.784	-0.02980
1.785	0.02367
1.786	-0.01965
1.787	0.01842
1.788	-0.10910
1.789	-0.01227
1.790	-0.10672
1.791	-0.01477
1.792	-0.09492
1.793	-0.07753
1.794	0.06183
1.795	0.01640
1.796	0.01409
1.797	-0.02279
1.798	0.06591
1.799	-0.06845
1.800	0.02311
1.801	0.08638
1.802	-0.01777
1.803	-0.03505
1.804	0.10939
1.805	0.05281
1.806	-0.00660
1.807	-0.02262
1.808	0.04394
1.809	-0.02935
1.810	-0.01145
1.811	0.04053
1.812	0.01788
1.813	0.09253
1.814	-0.00968
1.815	0.00696
1.816	-0.03436
1.817	-0.01959
1.818	0.09095
1.819	0.05819
1.820	0.05486
1.821	0.00781
1.822	0.17413
1.823	0.02726
1.824	0.02027
1.825	-0.11221
1.826	0.02202
1.827	0.14519
1.828	0.10132
1.829	-0.01075
1.830	0.02971
1.831	0.00984
1.832	0.03409
1.833	0.03282
1.834	0.03898
1.835	0.00035
1.836	-0.14186
1.837	0.01187
1.838	0.00883
1.839	-0.02537
1.840	0.03665
1.841	0.01213
1.842	0.06437
1.843	-0.03295
1.844	0.05182
1.845	0.04842
1.846	0.00633
1.847	0.08676
1.848	-0.00576
1.849	0.03274
1.850	0.00748
1.851	-0.03128
1.852	-0.01354
1.853	-0.00173
1.854	0.06351
1.855	-0.09467
1.856	-0.03105
1.857	-0.00354
1.858	-0.02265
1.859	0.02201
1.860	0.09132
1.861	-0.06110
1.862	-0.01673
1.863	0.02914
1.864	0.04239
1.865	0.03316
1.866	0.05843
1.867	0.07843
1.868	0.07885
1.869	0.02623
1.870	0.06415
1.871	-0.04296
1.872	0.03939
1.873	0.05746
1.874	-0.13451
1.875	0.06141
1.876	0.05599
1.877	0.02707
1.878	0.01901
1.879	-0.02329
1.880	0.16594
1.881	0.01924
1.882	0.07158
1.883	0.04787
1.884	0.15497
1.885	-0.02106
1.886	-0.00978
1.887	-0.05895
1.888	0.03522
1.889	0.06414
1.890	0.06296
1.891	-0.01960
1.892	-0.02589
1.893	-0.05846
1.894	-0.05624
1.895	-0.00556
1.896	-0.03896
1.897	-0.01215
1.898	-0.00756
1.899	0.01314
1.900	0.11168
1.901	0.06149
1.902	-0.02980
1.903	0.04628
1.904	0.00414
1.905	-0.02777
1.906	0.04139
1.907	0.02837
1.908	-0.03901
1.909	0.04433
1.910	0.00541
1.911	0.03959
1.912	-0.01202
1.913	-0.00050
1.914	0.05085
1.915	-0.08239
1.916	-0.04095
1.917	0.06101
1.918	0.04965
1.919	0.03412
1.920	-0.01640
1.921	0.06387
1.922	-0.01496
1.923	0.07496
1.924	-0.00583
1.925	0.00479
1.926	0.04705
1.927	0.03149
1.928	0.02742
1.929	0.04232
1.930	0.08860
1.931	0.06351
1.932	-0.07718
1.933	0.06068
1.934	0.02994
1.935	-0.45362
1.936	-0.10047
1.937	-0.10732
1.938	-0.05457
1.939	-0.00150
1.940	-0.02534
1.941	0.05382
1.942	0.04569
1.943	0.03593
1.944	0.01586
1.945	0.01952
1.946	0.01522
1.947	0.01718
1.948	0.04523
1.949	0.01457
1.950	0.03265
1.951	-0.00521
1.952	0.06309
1.953	0.05972
1.954	0.07580
1.955	0.05140
1.956	0.00323
1.957	0.06682
1.958	0.01282
1.959	0.00227
1.960	0.03186
1.961	0.01065
1.962	-0.01701
1.963	-0.01947
1.964	0.01430
1.965	0.00083
1.966	-0.01289
1.967	0.02329
1.968	0.03934
1.969	-0.00008
1.970	-0.02290
1.971	0.06368
1.972	0.04541
1.973	0.03297
1.974	0.06397
1.975	0.01884
1.976	0.02619
1.977	0.03021
1.978	0.09867
1.979	0.00951
1.980	0.05087
1.981	0.02400
1.982	-0.00077
1.983	0.04105
1.984	0.05471
1.985	0.00526
1.986	0.03536
1.987	0.01110
1.988	-0.03192
1.989	0.01565
1.990	0.06956
1.991	0.02257
1.992	0.00205
1.993	0.05514
1.994	-0.00323
1.995	-0.02225
1.996	-0.00203
1.997	0.00806
1.998	0.00945
1.999	0.00255
2.000	-0.00808
2.001	-0.01848
2.002	0.01594
2.003	0.05547
2.004	0.00395
2.005	-0.02759
2.006	0.00134
2.007	0.01159
2.008	0.00052
2.009	0.02869
2.010	0.01220
2.011	0.01598
2.012	0.00859
2.013	0.02582
2.014	0.00102
2.015	-0.02796
2.016	-0.01511
2.017	0.02123
2.018	0.03109
2.019	0.01989
2.020	0.02801
2.021	0.04933
2.022	0.03505
2.023	0.01457
2.024	0.03760
2.025	-0.01411
2.026	-0.02952
2.027	-0.06191
2.028	-0.00770
2.029	-0.05622
2.030	-0.00057
2.031	0.05055
2.032	-0.02725
2.033	-0.04312
2.034	0.00415
2.035	0.00913
2.036	0.01701
2.037	0.01930
2.038	-0.05920
2.039	-0.03057
2.040	0.01005
2.041	0.01300
2.042	-0.02802
2.043	-0.08525
2.044	0.01524
2.045	0.00150
2.046	0.00393
2.047	0.00407
2.048	-0.05004
2.049	-0.01600
2.050	0.00630
2.051	-0.02220
2.052	-0.06790
2.053	-0.07795
2.054	-0.02994
2.055	-0.16233
2.056	0.18302
2.057	0.14981
2.058	0.08444
2.059	0.06662
2.060	0.05944
2.061	0.09673
2.062	0.15538
2.063	0.06373
2.064	0.00354
2.065	0.04070
2.066	0.07600
2.067	0.04829
2.068	-0.01617
2.069	0.09706
2.070	0.01084
2.071	0.01488
2.072	0.05112
2.073	-0.03179
2.074	0.04537
2.075	0.02587
2.076	0.04859
2.077	-0.00764
2.078	0.03532
2.079	0.03213
2.080	0.04869
2.081	0.02903
2.082	0.05937
2.083	-0.03139
2.084	-0.03502
2.085	-0.02577
2.086	0.03217
2.087	-0.01159
2.088	-0.01714
2.089	0.10303
2.090	0.12214
2.091	0.01948
2.092	0.01078
2.093	-0.03494
2.094	0.03709
2.095	-0.05496
2.096	0.02333
2.097	-0.01129
2.098	0.01585
2.099	0.08623
2.100	-0.02234
2.101	0.08460
2.102	0.00636
2.103	-0.02110
2.104	-0.03372
2.105	-0.02793
2.106	-0.00851
2.107	0.01804
2.108	0.03669
2.109	-0.06294
