FILENAME:	2jh015_6.txt
TITLE:	AFC Filter 05 ZnS Test Piece Sample 2JH @ 15K, 2.6°i, In f/8 (CDCR 04865/04871, SMCR 02016)
FORMAL_COMMENT:	Astronomical Filter Consortium Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	31-Jan-2002
AUTHOR:	Richard Sherwood
CHANNEL:	05
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.742	-0.08003
1.743	0.10013
1.744	-0.20008
1.745	0.06152
1.746	0.00725
1.747	0.13795
1.748	-0.08229
1.749	0.25007
1.750	0.25144
1.751	0.41648
1.752	0.14691
1.753	0.20253
1.754	0.26273
1.755	0.07513
1.756	0.51035
1.757	0.11826
1.758	0.03116
1.759	0.09334
1.760	0.44459
1.761	0.35108
1.762	0.24166
1.763	0.20621
1.764	0.28659
1.765	0.23511
1.766	0.19248
1.767	0.18363
1.768	-0.22444
1.769	0.00956
1.770	0.13288
1.771	0.27640
1.772	0.00717
1.773	0.11494
1.774	-0.02094
1.775	-0.11507
1.776	-0.01404
1.777	0.31567
1.778	1.07235
1.779	-0.62683
1.780	0.19115
1.781	-0.03001
1.782	-0.36364
1.783	0.12256
1.784	-0.09039
1.785	0.01004
1.786	0.18659
1.787	-0.02467
1.788	0.43437
1.789	0.00677
1.790	-0.06957
1.791	-0.45580
1.792	0.02109
1.793	-0.00552
1.794	-0.00882
1.795	-0.04799
1.796	-0.13194
1.797	-0.00583
1.798	-0.25522
1.799	0.37071
1.800	0.34719
1.801	0.04520
1.802	0.05926
1.803	-0.18735
1.804	0.32148
1.805	0.20114
1.806	0.00948
1.807	-0.04621
1.808	0.03209
1.809	-0.18359
1.810	0.16901
1.811	0.19885
1.812	-0.18507
1.813	0.01861
1.814	-0.28163
1.815	0.18508
1.816	0.02906
1.817	0.08047
1.818	-0.01136
1.819	-0.18514
1.820	0.44022
1.821	0.14350
1.822	0.10532
1.823	0.12385
1.824	-0.26979
1.825	-0.04983
1.826	-0.33931
1.827	-0.08554
1.828	0.56960
1.829	0.20183
1.830	0.22064
1.831	0.15151
1.832	-0.09489
1.833	0.22215
1.834	0.11980
1.835	-0.16476
1.836	0.18933
1.837	0.05663
1.838	-0.21109
1.839	0.22440
1.840	0.21959
1.841	-0.13139
1.842	-0.22375
1.843	0.25769
1.844	0.09839
1.845	0.19280
1.846	0.13657
1.847	0.28979
1.848	-0.27766
1.849	0.09924
1.850	0.04010
1.851	0.00063
1.852	-0.19630
1.853	0.13872
1.854	0.25042
1.855	0.02125
1.856	-0.14635
1.857	0.15562
1.858	-0.14106
1.859	0.10417
1.860	-0.17207
1.861	-0.01169
1.862	0.10042
1.863	0.11779
1.864	0.07793
1.865	0.20448
1.866	0.09251
1.867	0.11896
1.868	-0.02195
1.869	0.06006
1.870	-0.01536
1.871	0.38251
1.872	0.11568
1.873	0.21559
1.874	-0.12810
1.875	0.21399
1.876	0.05179
1.877	0.21113
1.878	0.30489
1.879	0.43159
1.880	0.09365
1.881	-0.46985
1.882	-0.23439
1.883	-0.06661
1.884	0.17574
1.885	-0.15116
1.886	-0.08143
1.887	-0.16395
1.888	0.07962
1.889	0.01392
1.890	-0.10120
1.891	-0.09475
1.892	-0.09546
1.893	0.14617
1.894	0.19123
1.895	0.10065
1.896	0.01661
1.897	0.05493
1.898	0.19178
1.899	0.03160
1.900	0.15253
1.901	-0.14913
1.902	0.01582
1.903	-0.03192
1.904	0.04321
1.905	0.04680
1.906	0.00322
1.907	-0.04248
1.908	0.18570
1.909	0.16824
1.910	0.06197
1.911	0.09099
1.912	0.08041
1.913	-0.03844
1.914	0.16518
1.915	-0.15216
1.916	-0.06843
1.917	-0.12143
1.918	0.08012
1.919	-0.10627
1.920	0.12121
1.921	0.33030
1.922	0.25950
1.923	0.12243
1.924	0.26062
1.925	0.06976
1.926	0.00485
1.927	0.07415
1.928	-0.03499
1.929	-0.08382
1.930	0.08981
1.931	0.20951
1.932	0.09067
1.933	-0.01668
1.934	0.26882
1.935	-0.69812
1.936	0.15907
1.937	0.08997
1.938	-0.04232
1.939	-0.02308
1.940	0.11582
1.941	-0.02240
1.942	0.17843
1.943	-0.13016
1.944	0.02758
1.945	0.01613
1.946	0.08349
1.947	0.02837
1.948	-0.11477
1.949	-0.12138
1.950	0.00283
1.951	-0.04349
1.952	0.27605
1.953	-0.03640
1.954	-0.08279
1.955	0.21967
1.956	0.11894
1.957	0.12590
1.958	0.08354
1.959	0.13562
1.960	0.13588
1.961	0.15582
1.962	0.01904
1.963	-0.06288
1.964	0.05109
1.965	0.11570
1.966	-0.05702
1.967	0.08227
1.968	0.14241
1.969	-0.04355
1.970	-0.04547
1.971	-0.01401
1.972	0.02424
1.973	0.21454
1.974	0.20730
1.975	0.18634
1.976	0.11994
1.977	0.14267
1.978	-0.18261
1.979	0.14146
1.980	-0.03829
1.981	0.21002
1.982	-0.04768
1.983	-0.05559
1.984	0.06692
1.985	0.01902
1.986	-0.07060
1.987	0.02027
1.988	-0.01871
1.989	0.12321
1.990	0.00638
1.991	0.17577
1.992	0.27436
1.993	0.40705
1.994	0.10855
1.995	-0.20057
1.996	-0.28919
1.997	0.03312
1.998	0.08454
1.999	-0.04573
2.000	0.03979
2.001	-0.11000
2.002	-0.06401
2.003	-0.20350
2.004	0.04942
2.005	0.15050
2.006	0.20555
2.007	-0.03593
2.008	0.12701
2.009	-0.08008
2.010	0.05905
2.011	0.10273
2.012	0.09995
2.013	-0.09325
2.014	0.04855
2.015	-0.07286
2.016	0.19667
2.017	-0.00352
2.018	-0.00678
2.019	-0.00658
2.020	0.05594
2.021	-0.02330
2.022	-0.20336
2.023	-0.28205
2.024	-0.13993
2.025	-0.05957
2.026	0.05266
2.027	-0.01355
2.028	0.01261
2.029	0.05823
2.030	0.32426
2.031	0.19622
2.032	-0.02348
2.033	-0.09076
2.034	0.02310
2.035	0.47031
2.036	0.06948
2.037	-0.04647
2.038	-0.09456
2.039	0.13412
2.040	0.07877
2.041	0.04447
2.042	0.19717
2.043	-0.04462
2.044	0.19184
2.045	0.35499
2.046	0.34305
2.047	0.06272
2.048	-0.01671
2.049	-0.06780
2.050	-0.12471
2.051	-0.09628
2.052	0.24137
2.053	-0.10010
2.054	-0.01964
2.055	-0.19448
2.056	0.49747
2.057	0.57103
2.058	0.05122
2.059	-0.10077
2.060	0.00344
2.061	0.15672
2.062	0.10671
2.063	-0.05464
2.064	0.04018
2.065	0.17252
2.066	0.25881
2.067	0.13735
2.068	0.13212
2.069	0.21065
2.070	0.08214
2.071	0.26812
2.072	0.32506
2.073	0.07702
2.074	0.36896
2.075	0.23651
2.076	0.25294
2.077	0.05664
2.078	0.08233
2.079	-0.03534
2.080	-0.08582
2.081	0.03613
2.082	0.01497
2.083	-0.15993
2.084	-0.08322
2.085	-0.23216
2.086	-0.12878
2.087	0.21094
2.088	0.25185
2.089	0.52741
2.090	0.52603
2.091	0.16984
2.092	0.07332
2.093	0.44439
2.094	0.10640
2.095	0.22723
2.096	-0.04145
2.097	0.10688
2.098	-0.17016
2.099	0.19992
2.100	0.06420
2.101	0.04461
2.102	-0.15780
2.103	-0.01201
2.104	0.16299
2.105	-0.01739
2.106	-0.22404
2.107	-0.29229
2.108	-0.13749
2.109	-0.28154
2.110	0.58844
2.111	0.20578
2.112	0.77391
2.113	0.02396
2.114	-0.46992
2.115	-0.14986
2.116	-0.12119
2.117	-0.46851
2.118	-0.47947
2.119	0.25866
2.120	0.50608
2.121	-0.47762
2.122	-0.88195
2.123	0.88009
2.124	0.78573
2.125	-0.41615
2.126	-0.04400
2.127	0.20793
2.128	0.44095
2.129	-0.23271
2.130	0.48993
2.131	0.38584
2.132	-0.50420
2.133	-0.12376
2.134	0.55951
2.135	0.48264
2.136	0.33503
2.137	0.22415
2.138	0.57217
2.139	0.76521
2.140	0.72267
2.141	0.12147
2.142	-0.05855
2.143	-1.35498
2.144	-1.14954
2.145	0.77312
2.146	0.34762
2.147	0.54981
2.148	0.10384
2.149	-0.15319
2.150	-0.19877
2.151	-0.18092
2.152	0.32991
2.153	-0.45569
2.154	-0.28923
2.155	-0.17412
2.156	0.01932
2.157	-0.13393
2.158	-0.54455
2.159	0.18990
2.160	0.15541
2.161	0.60087
2.162	-0.02007
2.163	-1.11757
2.164	-0.50399
2.165	1.26596
2.166	0.46744
2.167	-0.43695
2.168	-0.33451
2.169	1.14243
2.170	0.54681
2.171	0.30850
2.172	1.25291
2.173	1.07373
2.174	0.18843
2.175	-0.19213
2.176	0.61782
2.177	-0.38256
2.178	-0.46377
2.179	0.59870
2.180	0.59925
2.181	1.09807
2.182	1.69084
2.183	0.49914
2.184	0.18492
2.185	-0.75976
2.186	-0.62610
2.187	-0.06531
2.188	0.55852
2.189	-0.01378
2.190	0.13420
2.191	0.15143
2.192	0.28575
2.193	0.59099
2.194	-0.14182
2.195	-0.29289
2.196	0.24149
2.197	1.10440
2.198	0.46801
2.199	1.07625
2.200	-0.28158
2.201	-0.20548
2.202	0.12013
2.203	0.92927
2.204	0.91592
2.205	-0.13493
2.206	-0.88230
2.207	0.91089
2.208	-0.15001
2.209	-0.83201
2.210	-0.41112
2.211	0.37766
2.212	0.21566
2.213	-1.03336
2.214	-0.20385
2.215	0.04595
2.216	-0.14842
2.217	-0.53541
2.218	-0.08827
2.219	-0.65748
2.220	-0.68957
2.221	0.47707
2.222	-0.13903
2.223	0.65991
2.224	0.25156
2.225	-0.09271
2.226	-0.39752
2.227	1.74769
2.228	1.25869
2.229	-0.66827
2.230	0.45777
2.231	0.39913
2.232	1.14581
2.233	0.21023
2.234	1.05974
2.235	-0.86755
2.236	-0.19826
2.237	-0.45020
2.238	-0.52015
2.239	0.47830
2.240	1.05389
2.241	0.04793
2.242	-0.60151
2.243	-0.40879
2.244	0.15794
2.245	0.28253
2.246	0.22256
2.247	0.27577
2.248	0.61041
2.249	0.21000
2.250	0.60481
2.251	-0.22818
2.252	-0.00181
2.253	-0.12817
2.254	-0.42030
2.255	0.02736
2.256	0.26011
2.257	0.35288
2.258	0.10204
2.259	0.04301
2.260	0.39177
2.261	0.59515
2.262	0.22867
2.263	0.09830
2.264	0.32782
2.265	0.21035
2.266	-0.23728
2.267	-0.00701
2.268	-0.55600
2.269	-0.18478
2.270	0.02272
2.271	0.22174
2.272	-0.02498
2.273	-0.51470
2.274	-0.16085
2.275	-0.20975
2.276	-0.02373
2.277	0.16024
2.278	-0.04349
2.279	0.07386
2.280	0.04590
2.281	0.33438
2.282	0.11338
2.283	0.13913
2.284	0.20628
2.285	0.18662
2.286	0.15443
2.287	0.18192
2.288	0.01325
2.289	0.04686
2.290	0.17660
2.291	0.04166
2.292	-0.04298
2.293	-0.02213
2.294	-0.16035
2.295	-0.21303
2.296	-0.08931
2.297	-0.31579
2.298	0.00562
2.299	0.31364
2.300	0.18676
2.301	0.16795
2.302	0.32255
2.303	0.03693
2.304	0.18123
2.305	0.00095
2.306	-0.12563
2.307	0.18266
2.308	0.10563
2.309	0.16826
2.310	0.31572
2.311	-0.06967
2.312	-0.08620
2.313	-0.27794
2.314	-0.06790
2.315	0.09038
2.316	0.00954
2.317	-0.02789
2.318	-0.16387
2.319	-0.22027
2.320	-0.08898
2.321	0.21744
2.322	0.11248
2.323	0.28173
2.324	0.05456
2.325	-0.16855
2.326	-0.05809
2.327	0.06389
2.328	0.18505
2.329	0.18232
2.330	-0.04366
2.331	-0.00851
2.332	0.19723
2.333	0.09117
2.334	0.07327
2.335	-0.00206
2.336	-0.04833
2.337	0.00275
2.338	-0.08421
2.339	-0.06524
