0.954351	Kr
0.970688	Kr
0.974578	Kr
0.975443	Kr
0.985894	Kr
1.029975	Kr
1.036321	Kr
1.059591	Kr
1.087790	Kr
1.119020	Kr
1.126083	Kr
1.126225	Kr
1.146066	Kr
1.179548	Kr
1.182267	Kr
1.200037	Kr
1.208073	Kr
1.212113	Kr
1.220774	Kr
1.278588	Kr
1.286541	Kr
1.288252	Kr
1.298862	Kr
1.302561	Kr
1.318098	Kr
1.321417	Kr
1.324414	Kr
1.334117	Kr
1.362600	Kr
1.363794	Kr
1.366211	Kr
1.371497	Kr
1.374261	Kr
1.383635	Kr
1.388644	Kr
1.392781	Kr
1.394294	Kr
1.397796	Kr
1.404950	Kr
1.410813	Kr
1.416049	Kr
1.434517	Kr
1.435174	Kr
1.440528	Kr
1.440651	Kr
1.443087	Kr
1.447329	Kr
1.473848	Kr
1.476687	Kr
1.476968	Kr
1.496584	Kr
1.497783	Kr
1.500967	Kr
1.521367	Kr
1.524401	Kr
1.533525	Kr
1.534368	Kr
1.538030	Kr
1.563925	Kr
1.568951	Kr
1.673563	Kr
1.679383	Kr
1.694497	Kr
1.710811	Kr
1.723492	Kr
1.737748	Kr
1.741419	Kr
1.762139	Kr
1.763526	Kr
1.777507	Kr
1.784758	Kr
1.785246	Kr
1.800663	Kr
1.810341	Kr
1.817209	Kr
1.818940	Kr
1.842386	Kr
1.858627	Kr
1.870102	Kr
1.879059	Kr
1.879287	Kr
1.880273	Kr
2.021539	Kr
2.042955	Kr
2.117125	Kr
2.190650	Kr
2.249194	Kr
2.334682	Kr
2.350880	Kr
2.426708	Kr
2.429881	Kr
