#OH LINES: VACUUM WAVELENGTHS from KPNO FTS (Chamberlain; Hubbard & Brault)
#
#lambda   sky   lab
#			
2.11561  0.12  0.13
2.11766  0.38  0.28
2.12325  0.15  0.15
2.12497  0.41  0.24
2.12791  0.05  0.11
2.13180   -    0.17
2.13260  0.16  0.11
2.15050   -    0.07
2.15073  1.20  0.51
2.15121   -    0.05
2.15376  0.30  0.24
2.15805  0.15  0.10
2.17111  0.25  0.17
2.18022  0.70  0.36
2.18735  0.35  0.23
2.18556  0.90  0.39
2.21255  0.80  0.24
2.22479  0.28  0.11
2.23127  0.50  0.23
2.24603  0.10  0.11
2.25180  0.25  0.17
2.27420  0.15  0.13
