1.0056 Ar
1.04729 Ar
1.06765 Ar
1.08839 Ar
1.09537 Ar
1.14449 Ar
1.14912 Ar
1.16719 Ar
1.2116 Ar
1.2143 Ar
1.2347 Ar
1.2360 Ar
1.2407 Ar
1.2443 Ar
1.2460 Ar
1.2491 Ar
1.2706 Ar
1.2806 Ar
1.296 Ar
1.3011 Ar
1.3371 Ar
1.3508 Ar
1.3626 Ar
1.3722 Ar
1.4097 Ar
1.4258 Ar
1.464 Ar
1.51768 Ar
1.53062 Ar
1.5904 Ar
1.59939 Ar
1.61844 Ar
1.6441 Ar
1.67447 Ar
1.74498 Ar
1.84328 Ar
1.8574 Ar
1.86374 Ar
1.87501 Ar
1.98229 Ar
1.99712 Ar
2.03226 Ar
2.06219 Ar
2.07401 Ar
2.08167 Ar
2.09918 Ar
2.13387 Ar
2.15401 Ar
2.20832 Ar
2.31395 Ar
2.38515 Ar
2.39731 Ar
2.51321 Ar
2.9497 Ar
2.9757 Ar
3.1461 Ar
3.2556 Ar
3.3420 Ar
3.5425 Ar
3.6460 Ar
3.7951 Ar
3.9233 Ar
3.9660 Ar
4.0328 Ar
4.0902 Ar
