# special        
# units microns
# From the series of papers "Spectral Irradiance Calibration In The Infrared" by Martin Cohen
# (see for example M.Cohen et al., 1999, AJ, 117, 1864)
17.25  9.5832 0.001
17.30  9.5738 0.001
17.35  9.5644 0.001
17.40  9.5550 0.001
17.45  9.5457 0.001
17.50  9.5364 0.001
17.55  9.5271 0.001
17.60  9.5178 0.001
17.65  9.5086 0.001
17.70  9.4993 0.001
17.75  9.4902 0.001
17.80  9.4810 0.001
17.85  9.4719 0.001
17.90  9.4627 0.001
17.95  9.4537 0.001
18.00  9.4446 0.001
18.05  9.4356 0.001
18.10  9.4266 0.001
18.15  9.4176 0.001
18.20  9.4086 0.001
18.25  9.3997 0.001
18.30  9.3908 0.001
18.35  9.3819 0.001
18.40  9.3730 0.001
18.45  9.3642 0.001
18.50  9.3554 0.001
18.55  9.3466 0.001
18.60  9.3378 0.001
18.65  9.3291 0.001
18.70  9.3203 0.001
18.75  9.3116 0.001
18.80  9.3030 0.001
18.85  9.2943 0.001
18.90  9.2857 0.001
18.95  9.2771 0.001
19.00  9.2685 0.001
19.05  9.2599 0.001
19.10  9.2514 0.001
19.15  9.2429 0.001
19.20  9.2344 0.001
19.25  9.2259 0.001
19.30  9.2175 0.001
19.35  9.2090 0.001
19.40  9.2006 0.001
19.45  9.1922 0.001
19.50  9.1839 0.001
19.55  9.1755 0.001
19.60  9.1672 0.001
19.65  9.1589 0.001
19.70  9.1506 0.001
19.75  9.1424 0.001
19.80  9.1342 0.001
19.85  9.1259 0.001
19.90  9.1177 0.001
19.95  9.1096 0.001
20.00  9.1014 0.001
20.05  9.0933 0.001
20.10  9.0852 0.001
20.15  9.0771 0.001
20.20  9.0690 0.001
20.25  9.0610 0.001
20.30  9.0529 0.001
20.35  9.0449 0.001
20.40  9.0369 0.001
20.45  9.0289 0.001
20.50  9.0210 0.001
20.55  9.0131 0.001
20.60  9.0051 0.001
20.65  8.9972 0.001
20.70  8.9894 0.001
20.75  8.9815 0.001
20.80  8.9737 0.001
20.85  8.9659 0.001
20.90  8.9580 0.001
20.95  8.9503 0.001
21.00  8.9425 0.001
21.05  8.9348 0.001
21.10  8.9270 0.001
21.15  8.9193 0.001
21.20  8.9116 0.001
21.25  8.9040 0.001
21.30  8.8963 0.001
21.35  8.8887 0.001
21.40  8.8810 0.001
21.45  8.8734 0.001
21.50  8.8659 0.001
21.55  8.8583 0.001
21.60  8.8507 0.001
21.65  8.8432 0.001
21.70  8.8357 0.001
21.75  8.8282 0.001
21.80  8.8207 0.001
21.85  8.8133 0.001
21.90  8.8058 0.001
21.95  8.7984 0.001
22.00  8.7910 0.001
22.05  8.7836 0.001
22.10  8.7762 0.001
22.15  8.7688 0.001
22.20  8.7615 0.001
22.25  8.7542 0.001
22.30  8.7469 0.001
22.35  8.7396 0.001
22.40  8.7323 0.001
22.45  8.7250 0.001
22.50  8.7178 0.001
22.55  8.7105 0.001
22.60  8.7033 0.001
22.65  8.6961 0.001
22.70  8.6890 0.001
22.75  8.6818 0.001
22.80  8.6746 0.001
22.85  8.6675 0.001
22.90  8.6604 0.001
22.95  8.6533 0.001
23.00  8.6462 0.001
23.05  8.6391 0.001
23.10  8.6321 0.001
23.15  8.6250 0.001
23.20  8.6180 0.001
23.25  8.6110 0.001
23.30  8.6040 0.001
23.35  8.5970 0.001
23.40  8.5900 0.001
23.45  8.5831 0.001
23.50  8.5761 0.001
23.55  8.5692 0.001
23.60  8.5623 0.001
23.65  8.5554 0.001
23.70  8.5485 0.001
23.75  8.5417 0.001
23.80  8.5348 0.001
23.85  8.5280 0.001
23.90  8.5212 0.001
23.95  8.5144 0.001
24.00  8.5076 0.001
24.05  8.5008 0.001
24.10  8.4940 0.001
24.15  8.4873 0.001
24.20  8.4805 0.001
24.25  8.4738 0.001
24.30  8.4671 0.001
24.35  8.4604 0.001
24.40  8.4537 0.001
24.45  8.4471 0.001
24.50  8.4404 0.001
24.55  8.4338 0.001
24.60  8.4271 0.001
24.65  8.4205 0.001
24.70  8.4139 0.001
24.75  8.4073 0.001
24.80  8.4008 0.001
24.85  8.3942 0.001
24.90  8.3877 0.001
24.95  8.3811 0.001
25.00  8.3746 0.001
25.05  8.3681 0.001
25.10  8.3616 0.001
25.15  8.3551 0.001
25.20  8.3486 0.001
25.25  8.3422 0.001
25.30  8.3357 0.001
25.35  8.3293 0.001
25.40  8.3229 0.001
25.45  8.3165 0.001
25.50  8.3101 0.001
25.55  8.3037 0.001
25.60  8.2973 0.001
25.65  8.2910 0.001
25.70  8.2846 0.001
25.75  8.2783 0.001
25.80  8.2720 0.001
25.85  8.2657 0.001
25.90  8.2594 0.001
25.95  8.2531 0.001
26.00  8.2468 0.001
26.05  8.2406 0.001
