# Database of GMOS CCD amplifier properties
#
# Note: If adding more lines of information,
#       please make sure there is no whitespace
#       after the closing quote around the AMPNAME.
#       Otherwise print out in GGAIN looks bad.

# GMOS-N bias for best amps change when in 6amp mode
# READOUT GAINSTATE GAIN RDNOISE BIAS AMPNAME
# GMOS-N
# best amps
fast high 4.334  6.52  1962.  "BI12-34-4k-1, 2"
fast low  1.235  5.40  1823.  "BI12-34-4k-1, 2"
slow low  1.519  3.46  3162.  "BI12-34-4k-1, 1"
fast high 4.343  7.46  2467.  "BI12-34-4k-1, 1"
fast low  1.236  6.55  2745.  "BI12-34-4k-1, 1"

#GMOS-S: New Gain/RN/Bias values (2006oct25) for
# all modes and CCDs
# best amps
slow low  1.940   3.20 602. "EEV 8056-20-03, left"
slow high 4.100   4.20 547. "EEV 8056-20-03, left"
fast high 5.300   6.80 443. "EEV 8056-20-03, left"
fast low  2.400   4.40 503. "EEV 8056-20-03, left"
slow low  2.076   3.85 667. "EEV 8194-19-04, left"
slow high 4.532   4.81 571. "EEV 8194-19-04, left"
fast high 5.051   7.35 449. "EEV 8194-19-04, left"
fast low  2.295   4.42 535. "EEV 8194-19-04, left"
slow low  2.097   3.16 644. "EEV 8261-07-04, right"
slow high 4.411   4.34 536. "EEV 8261-07-04, right"
fast high 4.833   7.88 448. "EEV 8261-07-04, right"
fast low  2.260   4.09 559. "EEV 8261-07-04, right"
# secondary amps
slow low  2.000   3.40 579. "EEV 8056-20-03, right"
slow high 4.200   4.90 488. "EEV 8056-20-03, right"
fast high 5.300   6.30 370. "EEV 8056-20-03, right"
fast low  2.400   4.30 443. "EEV 8056-20-03, right"
slow low  2.131   3.83 674. "EEV 8194-19-04, right"
slow high 4.592   4.96 610. "EEV 8194-19-04, right"
fast high 4.954  11.37 494. "EEV 8194-19-04, right"
fast low  2.288   5.03 571. "EEV 8194-19-04, right"
slow low  2.056   3.27 784. "EEV 8261-07-04, left"
slow high 4.381   4.81 647. "EEV 8261-07-04, left"
fast high 4.868   8.56 528. "EEV 8261-07-04, left"
fast low  2.264   4.63 663. "EEV 8261-07-04, left"
# new GMOS-S CCD: Best/Secondary
slow low  2.372   3.98 714. "EEV 2037-06-03, left"
slow high 4.954   5.70 634. "EEV 2037-06-03, left"
fast high 5.054   6.84 517. "EEV 2037-06-03, left"
fast low  2.408   4.49 583. "EEV 2037-06-03, left"
slow low  2.403   4.01 572. "EEV 2037-06-03, right"
slow high 4.862   5.19 492. "EEV 2037-06-03, right"
fast high 5.253   6.54 377. "EEV 2037-06-03, right"
fast low  2.551   5.07 448. "EEV 2037-06-03, right"

